iter	RMSE
170	2217.614459
171	2212.298358
172	2206.899185
173	2201.295814
174	2198.84293
175	2197.638838
176	2193.686448
177	2185.648494
178	2178.034477
179	2169.564253
180	2165.16131
181	2157.144254
182	2155.4211
183	2148.353053
184	2139.94786
185	2132.338326
186	2125.934316
187	2120.718725
188	2116.60347
189	2109.33727
190	2106.795449
191	2097.506526
192	2089.595501
193	2081.20121
194	2077.621948
195	2069.392855
196	2063.636707
197	2056.297827
198	2052.992437
199	2048.356866
200	2045.322206
201	2041.690558
202	2036.337861
203	2029.36746
204	2022.838543
205	2018.587447
206	2012.268122
207	2010.235904
208	2008.635748
209	2005.757611
210	1998.66105
211	1992.553238
212	1985.558199
213	1980.105014
214	1975.325838
215	1969.229123
216	1964.285528
217	1962.679259
218	1956.170394
219	1949.011199
220	1943.207823
221	1940.020207
222	1935.458948
223	1930.260585
224	1927.756311
225	1923.438638
226	1916.275824
227	1912.543116
228	1907.71209
229	1901.60756
230	1899.611229
231	1896.02656
232	1893.268626
233	1886.875
234	1883.62177
235	1881.729813
236	1878.267643
237	1877.402694
238	1870.349183
239	1863.891858
240	1858.696093
241	1854.667654
242	1853.887176
243	1850.196548
244	1842.944481
245	1838.928193
246	1836.431813
247	1831.251847
248	1827.315643
249	1822.259287
250	1819.576012
251	1816.254861
252	1813.284868
253	1809.266393
254	1805.237166
255	1799.536636
256	1794.129369
257	1789.654744
258	1788.726122
259	1784.336536
260	1781.772035
261	1776.924616
262	1776.105015
263	1771.840828
264	1767.445356
265	1764.106459
266	1763.145078
267	1761.827922
268	1757.925434
269	1754.772417
270	1751.021833
271	1746.869956
272	1743.086151
273	1739.407463
274	1734.974024
275	1730.962952
276	1729.550806
277	1728.489327
278	1726.57194
279	1722.971492
280	1718.540607
281	1712.257029
282	1706.596682
283	1704.795794
284	1700.654974
285	1696.739366
286	1692.525498
287	1689.166349
288	1684.510962
289	1681.313092
290	1677.326337
291	1673.580377
292	1669.841118
293	1669.299709
294	1665.482214
295	1663.370405
296	1659.29076
297	1658.522703
298	1655.988145
299	1652.184817
300	1646.881026
301	1643.837392
302	1639.809112
303	1636.594229
304	1632.568582
305	1630.35511
306	1627.972163
307	1623.144751
308	1620.522531
309	1619.599982
310	1616.126835
311	1612.723677
312	1608.643127
313	1605.045082
314	1601.348758
315	1596.495361
316	1594.526719
317	1592.900225
318	1588.586444
319	1584.729157
320	1582.117909
321	1580.479549
322	1578.586053
323	1575.970065
324	1572.463945
325	1568.595339
326	1568.035188
327	1563.665665
328	1560.447389
329	1559.070563
330	1555.864191
331	1555.164814
332	1553.113713
333	1549.87015
334	1547.860072
335	1544.719249
336	1541.008126
337	1537.070423
338	1534.322561
339	1531.090813
340	1528.882184
341	1527.908132
342	1526.291208
343	1523.51312
344	1519.983188
345	1515.314425
346	1512.101874
347	1508.921964
348	1505.907148
349	1502.979618
350	1502.128679
351	1498.80233
352	1497.813179
353	1493.768596
354	1490.555016
355	1487.768813
356	1483.744792
357	1479.202378
358	1475.653129
359	1472.608082
360	1471.387418
361	1468.891485
362	1466.275089
363	1465.907398
364	1463.438042
365	1460.715757
366	1457.967877
367	1454.712453
368	1451.634273
369	1449.276988
370	1447.277317
371	1444.885023
372	1441.433761
373	1438.945418
374	1435.515639
375	1434.420346
376	1431.308044
377	1428.163785
378	1425.299361
379	1421.755109
380	1419.656046
381	1416.172355
382	1413.634567
383	1412.400844
384	1409.811223
385	1405.91956
386	1404.70064
387	1403.711469
388	1399.849325
389	1397.398155
390	1396.169433
391	1392.790337
392	1392.216341
393	1388.403896
394	1387.697616
395	1384.882441
396	1384.054414
397	1381.635228
398	1378.168967
399	1375.652079
400	1372.526127
401	1370.029752
402	1368.93872
403	1366.72927
404	1364.656184
405	1361.640832
406	1359.094179
407	1355.997641
408	1353.762056
409	1351.8273
410	1349.255432
411	1345.502153
412	1342.807384
413	1341.579683
414	1339.736637
415	1336.576164
416	1334.2415
417	1331.0289
418	1328.312806
419	1325.059523
420	1323.425781
421	1322.086436
422	1321.516836
423	1318.346887
424	1315.829717
425	1313.488548
426	1310.851824
427	1309.712646
428	1308.051781
429	1306.717844
430	1304.491497
431	1302.619299
432	1300.736579
433	1298.59696
434	1296.279453
435	1294.347318
436	1292.964177
437	1291.146712
438	1289.277532
439	1287.10085
440	1284.687994
441	1283.176214
442	1280.608248
443	1278.06938
444	1274.64148
445	1272.42145
446	1269.36806
447	1268.131362
448	1267.053962
449	1263.821869
450	1261.191841
451	1258.959622
452	1256.77576
453	1255.853374
454	1252.765526
455	1251.154499
456	1248.810991
457	1246.537965
458	1243.337333
459	1240.488521
460	1238.454438
461	1237.953001
462	1235.759141
463	1234.933216
464	1233.019714
465	1230.87957
466	1228.756805
467	1225.921374
468	1223.680674
469	1221.533154
470	1217.983127
471	1216.974487
472	1216.327383
473	1213.751321
474	1213.31144
475	1211.046115
476	1208.622019
477	1206.832653
478	1205.733559
479	1203.224678
480	1200.862199
481	1197.169572
482	1195.556399
483	1192.990158
484	1192.309236
485	1189.992316
486	1186.91101
487	1185.025545
488	1182.591534
489	1181.449457
490	1180.553706
491	1178.88572
492	1178.071885
493	1177.38733
494	1176.677009
495	1176.360098
496	1173.307982
497	1171.537469
498	1169.808544
499	1167.369975
500	1165.462713
501	1163.764919
502	1161.999437
503	1158.80225
504	1157.657027
505	1155.430235
506	1154.365981
507	1151.762246
508	1149.426597
509	1147.650253
510	1144.537182
511	1142.174834
512	1140.838889
513	1139.435706
514	1137.697932
515	1135.133038
516	1133.59911
517	1131.801922
518	1129.384611
519	1128.231809
520	1126.064332
521	1124.129473
522	1123.240783
523	1122.0387
524	1120.156577
525	1118.385491
526	1116.210655
527	1114.990222
528	1113.381994
529	1111.974651
530	1110.287668
531	1108.630499
532	1106.709593
533	1105.013136
534	1103.92279
535	1101.816548
536	1099.81791
537	1099.379369
538	1098.558426
539	1096.776867
540	1094.765962
541	1092.578093
542	1091.285187
543	1089.499237
544	1087.568494
545	1086.144522
546	1084.369465
547	1082.525205
548	1080.569799
549	1079.952276
550	1078.524504
551	1076.46292
552	1075.022611
553	1074.688489
554	1073.161118
555	1072.016105
556	1069.713369
557	1067.839198
558	1066.097271
559	1064.651042
560	1062.136937
561	1061.046392
562	1059.684283
563	1057.977937
564	1056.64401
565	1054.680699
566	1053.759877
567	1052.599512
568	1050.974286
569	1049.46924
570	1047.756957
571	1046.239016
572	1045.172085
573	1043.937625
574	1042.508832
575	1042.335878
576	1040.568062
577	1038.544167
578	1035.888567
579	1033.637776
580	1033.492047
581	1032.826239
582	1030.141276
583	1028.365498
584	1026.151628
585	1023.917264
586	1021.596238
587	1019.656006
588	1018.303066
589	1016.24749
590	1014.581903
591	1012.733299
592	1012.499734
593	1010.724039
594	1008.729919
595	1007.309187
596	1006.583007
597	1006.423433
598	1005.433566
599	1003.758815
600	1002.389169
601	1000.51203
602	998.6086504
603	997.8858114
604	996.9255215
605	995.0172978
606	993.9183316
607	991.6691804
608	990.4114085
609	988.8273031
610	987.0586019
611	985.1632369
612	983.3951659
613	981.0856945
614	979.2798254
615	978.1145042
616	976.9605547
617	976.7623073
618	975.3737856
619	973.8061954
620	973.6420178
621	971.2140731
622	969.3738914
623	968.4992134
624	967.3218201
625	966.0607183
626	965.2606457
627	964.0187209
628	962.1294976
629	960.34933
630	958.9912162
631	958.188457
632	956.8376516
633	956.2867626
634	954.3363169
635	953.3540876
636	951.3930975
637	949.931656
638	947.9102613
639	946.3987948
640	944.8994647
641	943.54506
642	942.2430265
643	940.6935553
644	938.6232335
645	937.650455
646	937.2251367
647	935.7724008
648	934.3177837
649	932.7024111
650	931.078113
651	929.1173306
652	927.3130308
653	925.8013471
654	924.3661089
655	923.4761125
656	921.6325497
657	919.8498849
658	918.9213411
659	917.582524
660	916.3379887
661	914.6012045
662	913.6325848
663	912.0770369
664	910.6564352
665	909.5608862
666	909.4379835
667	908.3217755
668	906.867841
669	905.6502395
670	904.9309612
671	904.0266908
672	902.4462983
673	901.1025025
674	899.8314101
675	897.8762127
676	896.7816896
677	895.9648622
678	894.8694227
679	894.1694498
680	892.7703319
681	891.1134907
682	889.7884955
683	888.042007
684	887.5149337
685	886.2450849
686	885.2591796
687	883.89778
688	883.2197761
689	882.8897667
690	881.3128253
691	879.7944753
692	878.0445632
693	877.2202883
694	875.1075754
695	873.5523608
696	871.3844156
697	870.2024143
698	870.0575676
699	869.4319176
700	868.0211652
701	866.1463914
702	865.0753754
703	864.0716747
704	862.7827922
705	861.3201958
706	860.0001702
707	858.50254
708	857.8696853
709	857.0635593
710	856.328531
711	855.8065471
712	854.503467
713	853.2434169
714	851.7830878
715	850.2060255
716	848.9828388
717	847.6288826
718	845.9669105
719	845.3426063
720	843.9729235
721	843.2730977
722	841.414816
723	839.9358425
724	838.4768435
725	837.3875811
726	837.2972776
727	836.2608503
728	835.169899
729	833.8217875
730	831.8306092
731	830.1210017
732	828.7412262
733	827.5739415
734	825.8027352
735	824.8098907
736	823.1286795
737	822.1392909
738	820.7045227
739	819.343261
740	818.0326219
741	817.4743681
742	816.2904229
743	815.9505026
744	814.9442102
745	813.9028243
746	812.5602795
747	811.5785078
748	811.4906216
749	810.6288997
750	809.2020196
751	808.3668241
752	806.8881432
753	806.1567378
754	804.6689581
755	803.8118232
756	802.5487255
757	801.1684712
758	799.9792622
759	799.0299692
760	798.483398
761	797.9745233
762	797.7483718
763	796.432033
764	795.5521294
765	794.1611516
766	794.0769537
767	793.1063588
768	792.0717838
769	791.0186016
770	790.0090096
771	788.6325905
772	787.9819505
773	787.3222473
774	785.5561726
775	783.7628793
776	783.4167867
777	783.1686581
778	781.4966149
779	780.0730982
780	778.7585563
781	777.5610704
782	776.7982145
783	775.8927278
784	774.9314088
785	773.5286356
786	771.776224
787	770.5060713
788	769.9336812
789	768.6028389
790	768.4730153
791	767.5568286
792	766.3481694
793	765.2585835
794	764.0663132
795	762.7849459
796	762.6554485
797	761.3472926
798	760.1659684
799	759.2150211
800	757.9777319
801	757.0783503
802	756.5230541
803	755.0757418
804	754.1686983
805	752.8984694
806	751.7677335
807	750.5702327
808	750.5076588
809	749.4003011
810	748.1675581
811	746.771278
812	745.506799
813	743.9886126
814	742.2672746
815	742.1910866
816	740.9466564
817	740.064533
818	738.5426037
819	736.5032732
820	735.7993835
821	734.3720773
822	733.1843953
823	731.5728388
824	730.3279829
825	729.3269398
826	728.2595683
827	728.2075496
828	727.1146183
829	726.797841
830	725.2186064
831	723.9707406
832	722.8582844
833	721.2444472
834	720.4552795
835	719.4655379
836	718.3679969
837	718.3033809
838	717.3568602
839	716.8576416
840	716.0855216
841	715.203672
842	714.311135
843	713.2552256
844	712.3681047
845	711.3804383
846	710.3409386
847	709.1901017
848	708.0499824
849	707.0606032
850	706.2332296
851	705.1377904
852	704.3747926
853	703.5070423
854	702.236891
855	702.1840391
856	701.0407939
857	699.4867397
858	698.9681739
859	698.2209236
860	697.415701
861	697.3666455
862	696.5385071
863	695.6738538
864	694.6024382
865	693.3031208
866	692.0586126
867	690.6372228
868	690.5021932
869	690.4558331
870	688.9388167
871	688.2355517
872	687.5241521
873	687.0887367
874	686.000866
875	685.1661459
876	684.1264587
877	683.187508
878	682.2668262
879	680.6195255
880	679.7075834
881	678.5030421
882	677.4695711
883	676.625621
884	676.4786872
885	676.0159068
886	674.5736492
887	673.4581697
888	672.084537
889	671.3805839
890	669.9190241
891	668.72905
892	667.7156817
893	667.1222008
894	667.0794767
895	666.1693119
896	665.0831075
897	664.4571336
898	663.2722434
899	662.0008838
900	661.4288838
901	659.9307037
902	658.9026103
903	657.7461637
904	656.384415
905	655.4415017
906	654.1697024
907	652.9261682
908	652.3771527
909	651.4807828
910	650.5405346
911	649.763543
912	649.4297849
913	648.6741853
914	647.6100404
915	647.5656976
916	646.7157729
917	645.7188265
918	645.0094234
919	644.6990157
920	643.9097514
921	642.579479
922	641.5488914
923	640.8171138
924	639.7021423
925	638.6807927
926	638.0219708
927	637.0600649
928	636.695768
929	635.8932768
930	634.9626195
931	634.2582565
932	633.391464
933	632.6713563
934	632.6287027
935	631.7208312
936	630.6369957
937	629.2519199
938	628.0418813
939	626.954347
940	626.1825378
941	625.474272
942	624.5484255
943	623.0888754
944	622.8486659
945	622.1415401
946	620.7461978
947	620.2775136
948	619.7334639
949	618.9965671
950	618.7688262
951	617.7566775
952	616.7956044
953	615.5595902
954	615.5233822
955	614.1146273
956	613.3945408
957	612.5665151
958	611.6922904
959	610.918248
960	610.1872828
961	609.4696983
962	608.9315847
963	608.5013106
964	607.3490991
965	606.356755
966	605.8040994
967	605.0883891
968	604.2018214
969	603.6032034
970	603.1148936
971	602.2553655
972	601.6995317
973	601.2748092
974	600.7938825
975	599.7623207
976	598.7527252
977	597.5243409
978	596.5524948
979	596.3857206
980	595.8583451
981	594.7804802
982	593.8874865
983	593.3476055
984	593.0856703
985	592.0595249
986	590.8195975
987	590.0173577
988	589.302388
989	588.7871686
990	587.8370645
991	586.7518168
992	586.1991059
993	585.350446
994	584.6736584
995	583.2835803
996	582.2831901
997	581.5644177
998	580.8513238
999	580.169025
