name,address,capa,near_station,lat,lng,population,age,child,area
万博記念競技場,大阪府吹田市千里万博公園5-2,21000,0.0,34.8102495,135.5418537,8849.0,44.63,0.18,1901.0
キンチョウスタジアム,大阪府大阪市東住吉区長居公園1-1,19628,1.0,34.6139485,135.5184198,8849.0,44.63,0.18,1901.0
ヤンマースタジアム長居,大阪府大阪市東住吉区長居公園1-1,47816,1.0,34.6139485,135.5184198,8849.0,44.63,0.18,1901.0
ベストアメニティスタジアム,佐賀県鳥栖市京町812,24490,1.0,33.3719902,130.5197896,840.0,45.63,0.2,2440.0
佐賀県総合運動場陸上競技場,佐賀県佐賀市日の出2-1-10,17000,0.0,33.27466709999999,130.2918697,840.0,45.63,0.2,2440.0
埼玉スタジアム２００２,埼玉県さいたま市緑区中野田500,63700,0.0,35.9019995,139.7146773,7222.0,44.09,0.18,3768.0
ＮＡＣＫ５スタジアム大宮,埼玉県さいたま市大宮区高鼻町4,15600,1.0,35.9189126,139.6318202,7222.0,44.09,0.18,3768.0
ＩＡＩスタジアム日本平,静岡県静岡市清水区村松3880-1,20281,0.0,34.9851684,138.481305,3723.0,45.74,0.18,7255.0
エコパスタジアム,静岡県袋井市愛野2300-1,50889,1.0,34.7436764,137.9706643,3723.0,45.74,0.18,7255.0
ヤマハスタジアム（磐田）,静岡県磐田市新貝2500,15165,1.0,34.72321470000001,137.88133359999998,3723.0,45.74,0.18,7255.0
栃木県グリーンスタジアム,栃木県宇都宮市清原工業団地32,15589,0.0,36.5566492,139.98600990000003,1986.0,45.23,0.18,6408.0
鳴門・大塚スポーツパーク　ポカリスエットスタジアム,徳島県鳴門市撫養町立岩字四枚61,19637,0.0,34.1679118,134.6152539,770.0,47.57,0.17,4147.0
味の素スタジアム,東京都調布市西町376-3,49970,1.0,35.6641735,139.52536809999998,13300.0,43.91,0.15,2104.0
町田市立陸上競技場,東京都町田市野津田町2035,10328,0.0,35.5913944,139.4458051,13300.0,43.91,0.15,2104.0
国立競技場,東京都新宿区霞ヶ丘町10,54224,1.0,35.6785859,139.7147533,13300.0,43.91,0.15,2104.0
駒沢オリンピック公園総合運動場陸上競技場,東京都世田谷区駒沢公園1-1,20010,0.0,35.623106899999996,139.6628939,13300.0,43.91,0.15,2104.0
とりぎんバードスタジアム,鳥取県鳥取市蔵田423,16033,0.0,35.4582725,134.22116640000002,578.0,47.07,0.18,3507.0
富山県総合運動公園陸上競技場,富山県富山市南中田368,25250,0.0,36.62404799999999,137.1971706,1076.0,47.09,0.17,2046.0
ＮＤソフトスタジアム山形,山形県天童市山王1-1,21292,1.0,38.3361758,140.3755959,1141.0,47.74,0.17,6652.0
山梨中銀スタジアム,山梨県甲府市小瀬町840,17000,0.0,35.624201,138.5843276,847.0,46.21,0.18,4201.0
熊谷スポーツ文化公園陸上競技場,埼玉県熊谷市上川上300 熊谷スポーツ文化公園内,15400,0.0,36.165794399999996,139.4066368,7222.0,44.09,0.18,3768.0
神戸総合運動公園ユニバー記念競技場,兵庫県神戸市須磨区緑台,45000,1.0,34.6801203,135.0781675,5558.0,45.13,0.18,8396.0
宮城スタジアム,宮城県宮城郡利府町菅谷字舘40-1,49133,0.0,38.3375929,140.9531356,2328.0,44.82,0.18,6862.0
岐阜メモリアルセンター長良川球技メドウ,岐阜県岐阜市長良福光青襖2070-7,3560,0.0,35.4451611,136.7651917,2051.0,45.56,0.19,9768.0
味の素フィールド西が丘,東京都北区西が丘3-15-1,7258,1.0,35.7672961,139.7080788,13300.0,43.91,0.15,2104.0
福島県営あづま陸上競技場,福島県福島市佐原字神事場1,21000,0.0,37.7222388,140.363648,1946.0,46.8,0.18,13783.0
岡山県津山陸上競技場,岡山県津山市志戸部245,10000,0.0,35.0823843,134.017423,1930.0,45.8,0.18,7010.0
長崎県立総合運動公園陸上競技場,長崎県諫早市宇都町27-1,20246,0.0,32.8386907,130.038555,1397.0,47.03,0.18,4106.0
長崎市総合運動公園かきどまり陸上競技場,長崎県長崎市柿泊町2210,16000,0.0,32.77532,129.8183971,1397.0,47.03,0.18,4106.0
大垣市浅中公園総合グラウンド陸上競技場,岐阜県大垣市浅中2-11-1,4300,1.0,35.316027000000005,136.6048083,2051.0,45.56,0.19,9768.0
香川県立丸亀競技場,香川県丸亀市金倉町830,22338,0.0,34.2616843,133.7863605,985.0,46.78,0.18,1862.0
