year,stadium,absorp
2013,富山県総合運動公園陸上競技場,0.1771994342291373
2013,山梨中銀スタジアム,0.682113970588235
2013,岐阜メモリアルセンター長良川競技場,0.22915750000000004
2013,日産スタジアム,0.4227279281201053
2013,日立柏サッカー場,0.6666275761721719
2013,札幌ドーム,0.3518046492659054
2013,札幌厚別公園競技場,0.34078398665554627
2013,松本平広域公園総合球技場,0.5413433072778043
2013,栃木県グリーンスタジアム,0.31572934517318374
2013,正田醤油スタジアム群馬,0.23594003177749462
2013,熊本市水前寺競技場,0.2254
2013,熊谷スポーツ文化公園陸上競技場,0.6148701298701299
2013,県立カシマサッカースタジアム,0.40312633597929454
2013,神戸総合運動公園ユニバー記念競技場,0.2568111111111111
2013,等々力陸上競技場,0.6155649264983041
2013,豊田スタジアム,0.4691775000000001
2013,長崎市総合運動公園かきどまり陸上競技場,0.24625
2013,長崎県立総合運動公園陸上競技場,0.3101279265040009
2013,駒沢オリンピック公園総合運動場陸上競技場,0.39732633683158425
2013,鳴門・大塚スポーツパーク　ポカリスエットスタジアム,0.22140662549075246
2013,鹿児島県立鴨池陸上競技場 ,0.2806260660178589
2013,ＩＡＩスタジアム日本平,0.6745969133671911
2013,ＮＡＣＫ５スタジアム大宮,0.7206450320512819
2013,ＮＤソフトスタジアム山形,0.3296923503573889
2013,Ｓｈｏｎａｎ　ＢＭＷスタジアム平塚,0.656334242306194
2014,うまかな・よかなスタジアム,0.23603750000000007
2014,エディオンスタジアム広島,0.29432444444444444
2014,キンチョウスタジアム,0.7644054412064397
2014,ケーズデンキスタジアム水戸,0.3853958333333334
2014,シティライトスタジアム,0.4134791666666668
2014,デンカビッグスワンスタジアム,0.5534633569739952
2014,ニッパツ三ツ沢球技場,0.38577159866146543
2014,ニンジニアスタジアム,0.2589881869542886
2014,ノエビアスタジアム神戸,0.5259119135064974
2014,フクダ電子アリーナ,0.4920360360360361
2014,ベストアメニティスタジアム,0.582441812984892
2014,ヤマハスタジアム（磐田）,0.5819523700829341
2014,ヤンマースタジアム長居,0.6260665885895935
2014,ユアテックスタジアム仙台,0.6977950137097593
2014,レベルファイブスタジアム,0.2325710233568232
2014,万博記念競技場,0.6515892857142856
2014,京都市西京極総合運動公園陸上競技場兼球技場,0.3784874684282106
2014,北九州市立本城陸上競技場,0.32222440044435724
2014,名古屋市瑞穂陸上競技場,0.60105
2014,味の素スタジアム,0.29689688813287984
2014,味の素フィールド西が丘,0.4592174152659135
2014,国立競技場,0.3457989082325169
2014,埼玉スタジアム２００２,0.5424245595674168
2014,大分銀行ドーム,0.18683125000000003
2014,富山県総合運動公園陸上競技場,0.1800561056105611
2014,山梨中銀スタジアム,0.5925882352941176
2014,岐阜メモリアルセンター長良川競技場,0.39718076923076934
2014,日産スタジアム,0.34870564703821993
2014,日立柏サッカー場,0.7718562917598686
2014,札幌ドーム,0.2905867659053833
2014,札幌厚別公園競技場,0.39055385660890246
2014,松本平広域公園総合球技場,0.5906346015558607
2014,栃木県グリーンスタジアム,0.33705818205144655
2014,正田醤油スタジアム群馬,0.2190587740637295
2014,熊本市水前寺競技場,0.2616
2014,県立カシマサッカースタジアム,0.3794072873698684
2014,等々力陸上競技場,0.6119571135402272
2014,豊田スタジアム,0.5781583333333334
2014,長崎県立総合運動公園陸上競技場,0.20680216668313087
2014,香川県立丸亀競技場,0.15050179474031206
2014,駒沢オリンピック公園総合運動場陸上競技場,0.17021489255372313
2014,鳴門・大塚スポーツパーク　ポカリスエットスタジアム,0.43904364210419106
2014,鹿児島県立鴨池陸上競技場 ,0.2717467643222635
2014,ＩＡＩスタジアム日本平,0.686030028105123
2014,ＮＡＣＫ５スタジアム大宮,0.6654246794871795
2014,ＮＤソフトスタジアム山形,0.2862929738869059
2014,Ｓｈｏｎａｎ　ＢＭＷスタジアム平塚,0.5248951434878587
