jap_cnt,home_cum,away_cum
0,576,599
0,1050,893
0,869,1179
0,493,682
1,528,483
0,1179,2039
0,599,493
0,1050,678
0,986,576
0,2408,504
0,893,869
0,878,528
0,1047,496
1,483,1470
0,682,1054
0,791,854
0,504,682
0,496,791
0,1470,878
0,493,2408
0,1054,599
0,854,1047
0,869,986
0,2039,1050
1,576,483
0,678,1179
0,528,893
0,1047,528
1,483,504
0,893,1054
0,599,854
0,1050,576
0,682,1470
0,1179,496
0,791,869
0,2408,678
0,878,2039
0,986,493
0,2039,682
0,496,893
0,576,1054
0,854,878
0,986,2408
0,791,1470
1,493,483
0,869,1050
0,678,1047
0,528,1179
0,504,599
0,1050,493
1,483,791
0,599,2039
0,682,869
0,893,1179
0,496,854
0,1047,576
0,2408,528
0,1054,678
0,878,504
0,1470,986
1,678,483
0,791,878
0,493,496
0,854,682
0,2039,1047
0,986,893
0,869,599
0,1179,2408
0,1050,1054
0,528,504
0,576,1470
0,1047,869
1,483,1179
0,496,678
0,2408,576
0,1470,528
0,1054,986
0,893,854
0,599,1050
0,878,493
0,504,2039
0,682,791
0,791,1054
0,1470,2408
0,493,1047
0,1179,599
0,576,893
0,854,528
0,986,483
0,869,878
0,1050,504
0,2039,496
0,678,682
1,483,2039
0,1054,854
0,893,791
0,599,678
0,528,493
0,878,1179
0,682,986
0,1047,1050
0,2408,869
0,504,1470
0,496,576
0,791,1047
0,1470,483
0,493,1054
0,1179,528
0,576,682
0,854,504
0,986,599
0,869,893
0,1050,496
0,2039,878
0,678,2408
1,483,869
0,893,1470
0,576,791
0,878,1054
0,493,1179
0,854,1050
0,682,504
0,2408,2039
0,528,678
0,496,986
0,599,1047
0,791,493
0,1470,576
0,1054,2408
0,1179,893
0,682,496
0,986,869
0,1047,854
0,528,599
0,878,1050
1,504,483
0,678,2039
1,483,854
0,1470,678
0,1054,576
0,893,878
0,599,791
0,986,528
0,869,1047
0,1050,682
0,496,493
0,2408,1179
0,2039,504
1,791,483
0,493,2039
0,1179,1470
0,599,1054
0,576,528
0,504,986
0,854,496
0,869,682
0,1047,893
0,878,2408
0,678,1050
1,483,1047
0,1470,599
0,1054,869
0,893,504
0,528,854
0,682,493
0,1050,986
0,496,1179
0,2408,791
0,2039,576
0,878,678
0,1470,2039
0,1179,483
0,599,893
0,854,869
0,986,682
0,1047,1054
0,496,528
0,2408,493
0,576,878
0,504,1050
0,678,791
0,791,496
0,493,1050
0,893,678
0,576,2408
0,682,854
0,869,1470
0,528,878
0,2039,1054
0,504,1047
0,599,1179
0,483,986
0,528,2408
0,791,504
0,493,576
0,1054,483
0,1179,1047
0,2039,893
0,878,682
0,1050,869
0,854,599
0,678,496
1,986,1470
0,1470,682
0,1179,1054
0,576,1050
0,504,528
0,869,791
0,1047,493
0,2408,483
1,878,986
0,854,893
0,678,599
0,496,2039
0,483,576
0,493,878
0,1054,791
0,893,496
0,599,504
0,682,678
1,986,1179
0,1050,1047
0,2408,854
0,528,1470
0,2039,869
0,483,678
0,791,1050
0,1470,854
0,869,496
0,1179,878
0,893,493
0,599,2408
0,576,1047
0,504,1054
0,682,528
1,986,2039
0,1047,2039
0,496,599
0,2408,682
0,1470,504
0,1054,893
0,1179,576
0,528,791
0,878,869
0,1050,483
0,854,493
1,678,986
0,496,1047
0,2408,1470
0,493,599
0,1054,1050
0,893,576
0,528,869
0,2039,483
0,504,878
0,682,1179
0,678,854
1,986,791
0,1047,1470
0,483,682
0,791,1179
1,493,986
0,599,878
0,576,496
0,504,2408
0,854,1054
0,869,678
0,893,528
0,1050,2039
0,878,854
0,1047,678
0,483,528
0,791,2039
0,2408,496
0,1470,493
0,869,504
0,1179,1050
0,599,576
0,682,893
1,986,1054
0,496,483
1,2408,986
0,1054,682
0,1179,869
0,893,1050
0,528,1047
0,2039,599
0,878,1470
0,504,576
0,854,791
0,678,493
0,1047,682
0,496,878
0,1470,791
0,493,504
0,869,2408
0,893,483
0,2039,528
0,576,986
0,1050,599
0,854,1179
0,678,1054
0,1047,2408
0,483,878
0,791,893
0,493,528
0,1054,496
0,599,869
0,576,678
0,1050,1470
0,504,1179
0,682,2039
0,986,854
0,483,493
0,2408,893
0,1470,1054
0,869,576
0,1179,678
0,528,1050
0,878,791
0,504,496
0,854,2039
0,682,599
0,986,1047
0,1047,878
0,791,682
0,496,1470
0,493,869
0,1054,528
0,893,986
0,599,483
0,2039,1179
0,576,854
0,1050,2408
0,678,504
0,2429,1481
0,4315,1191
1,4226,3298
0,3213,2548
2,3198,5786
1,1704,4122
0,3228,3084
2,1406,3545
0,3412,3214
2,2548,3198
0,4122,2429
2,3545,3412
0,1481,3213
0,3084,4315
0,3214,1406
0,3298,3228
0,5786,4226
1,1191,1704
0,2429,3412
0,4315,3298
1,1704,3214
0,1406,5786
0,3228,2548
2,3213,3545
0,1191,3084
1,1481,4226
2,3198,4122
2,3084,3198
0,3213,2429
1,3298,1704
0,3228,4122
0,3412,1406
0,3214,1481
1,4226,1191
0,2548,5786
2,4315,3545
0,2429,2548
2,3545,3228
2,3198,4315
1,1704,3084
0,1406,1481
0,4122,3213
1,3412,4226
0,1191,3214
0,5786,3298
0,1481,3412
2,2429,3545
0,4315,3214
1,4226,2548
0,1406,4122
0,3084,3298
0,3213,3228
3,3198,1704
0,5786,1191
0,3214,2429
0,3084,3213
3,3545,4226
1,1704,3412
2,3298,3198
0,3228,5786
0,1191,1406
0,4122,1481
0,2548,4315
0,3412,3228
0,2548,4122
3,4226,3198
0,3213,1406
0,4315,1481
0,3298,1191
0,5786,3084
2,3545,3214
1,2429,1704
0,1406,3228
0,1481,3298
0,3084,2548
0,4315,4122
0,1191,3213
3,1704,3545
1,3214,4226
2,3198,3412
0,5786,2429
0,2548,1481
0,3084,3214
1,3228,3198
2,3545,3298
0,4122,1191
0,3213,5786
1,1406,1704
0,3412,4315
0,4226,2429
3,3198,1406
0,2429,3228
0,3298,3412
1,1704,2548
0,3214,3213
1,4226,4315
2,1191,3545
0,1481,3084
0,5786,4122
1,4122,4226
0,2548,1406
0,3298,3214
2,3198,1481
0,3412,3213
0,4315,2429
0,3228,1191
1,5786,1704
2,3545,3084
2,1191,3198
0,1481,3228
0,3084,2429
0,3214,2548
1,1704,4315
1,1406,3298
3,4122,3545
1,3213,4226
0,3412,5786
0,1481,5786
4,3545,3198
0,2429,1191
1,3228,1704
0,3214,4122
0,4315,1406
1,2548,3412
0,3298,3213
1,4226,3084
0,4122,3084
1,3228,4226
0,1191,3412
1,3298,2548
0,3213,4315
2,3198,3214
1,1704,1481
0,1406,2429
2,5786,3545
0,3084,1406
0,1481,1191
0,2429,3298
0,3412,4122
0,3214,5786
0,4315,3228
3,2548,3545
1,4226,1704
2,3198,3213
2,2429,3198
0,4122,3298
0,5786,4315
0,3228,3214
0,3412,3084
1,1191,2548
1,3213,1704
0,1406,4226
1,3545,1481
0,3214,1191
0,1481,2429
1,2548,3213
2,3084,3545
0,3298,5786
2,3198,3228
1,1704,1406
0,4315,3412
0,4226,4122
2,5786,3198
0,4122,3228
0,2429,3214
1,3412,1704
2,3545,1406
0,1191,4315
1,2548,3084
0,3298,4226
0,3213,1481
0,3084,1191
1,1481,2548
0,2429,4122
0,3228,3213
2,3214,3545
1,4315,1704
0,4226,5786
2,3198,3298
0,1406,3412
1,4122,2548
2,3545,4315
0,1481,3214
0,1191,3298
0,3213,3084
1,1704,3228
0,5786,1406
0,3412,2429
3,3198,4226
0,3084,5786
0,4122,4315
0,3228,3412
0,1191,1481
1,2548,3214
2,3298,3545
0,4226,3213
1,1704,2429
2,1406,3198
0,2429,3213
0,3412,1191
3,3545,1704
0,3214,3228
2,1481,3198
1,2548,3298
0,3084,4122
0,4226,1406
0,4315,5786
1,5786,2548
0,4122,3412
0,3228,4315
0,1191,2429
0,3298,1481
0,3213,3214
4,3198,3545
1,1704,4226
0,1406,3084
0,3412,3298
0,4315,3213
0,1481,4122
1,2548,3228
0,3084,4226
1,1704,1191
0,2429,1406
2,3545,5786
2,3214,3198
0,3214,1704
0,4315,3084
0,3298,4122
3,4226,3545
0,1406,1191
0,5786,1481
0,3228,2429
3,3198,2548
0,3213,3412
1,4122,1406
2,3228,3545
0,3084,1481
0,4226,3214
0,3213,3298
0,2429,4315
1,3412,2548
0,1191,5786
3,1704,3198
2,3545,4122
0,1191,4226
0,1481,4315
2,2548,1704
1,1406,3213
0,5786,3228
0,3298,2429
2,3198,3084
0,3214,3412
0,2429,4226
0,4122,5786
0,3228,1406
0,3412,1481
3,3545,2548
0,3214,3298
2,4315,3198
1,3084,1704
0,3213,1191
2,3198,2429
2,1481,3545
1,2548,1191
0,4122,3214
0,5786,3412
0,3298,3084
0,4226,3228
0,1406,4315
1,1704,3213
0,3228,1481
2,3545,3213
0,3214,3084
1,4315,4226
0,1191,4122
1,1704,3298
1,1406,2548
0,2429,5786
2,3412,3198
1,4122,1704
0,5786,3214
2,3545,1191
1,1481,1406
1,2548,2429
0,3084,3228
0,3298,4315
1,4226,3412
2,3213,3198
0,2429,3084
0,3228,3298
2,3412,3545
1,4315,2548
0,4226,1481
0,3213,4122
2,3198,1191
1,1704,5786
0,1406,3214
2,4122,3198
0,5786,3213
2,3545,2429
0,3214,4315
0,1191,3228
1,1481,1704
2,2548,4226
0,3084,3412
0,3298,1406
0,876,939
0,2330,1071
0,576,1152
0,1211,1960
0,1236,871
0,686,701
0,680,646
0,508,469
0,1034,718
0,522,1041
2,2786,1930
0,508,701
0,469,646
0,1034,686
0,522,939
2,718,2786
0,1071,876
0,1152,1211
0,1960,576
0,871,1041
0,680,2330
0,1930,1236
0,939,680
0,646,508
0,1211,686
0,871,1930
0,1041,718
0,876,2330
0,1236,1034
0,701,522
2,2786,1152
0,1960,1071
0,576,469
0,1041,876
0,1930,1960
0,1211,871
0,718,701
0,680,2786
0,469,1152
0,2330,646
0,1071,939
0,1034,508
0,522,576
0,686,1236
0,939,718
0,701,1930
0,576,1211
0,646,876
0,686,1041
0,871,1071
0,508,522
0,1236,680
0,1152,1034
0,2786,2330
0,1960,469
0,1041,1152
0,876,469
0,939,1960
0,871,508
0,680,701
0,522,1034
2,1071,2786
0,2330,686
0,1236,576
0,1930,1211
0,718,646
0,469,2330
0,576,1930
0,646,871
0,1034,1071
0,1211,718
2,2786,1236
0,508,939
0,1152,680
0,701,876
0,1960,1041
0,686,522
0,1071,1211
2,1041,2786
0,876,508
0,939,576
0,718,680
0,2330,1034
0,1236,646
0,701,1960
0,1930,1152
0,871,686
0,522,469
0,508,2330
0,469,871
0,1236,1041
0,1152,718
0,576,701
1,2786,939
0,1960,686
0,646,1071
0,1034,1930
0,1211,876
0,680,522
0,1041,680
0,876,576
0,1034,469
0,686,508
0,718,1071
0,1930,646
0,2330,871
0,1152,1960
2,701,2786
0,1211,522
0,939,1236
0,1071,680
0,508,1152
0,469,1211
0,576,1041
0,1930,2330
0,701,1236
2,2786,646
0,1960,1034
0,871,939
0,686,876
0,522,718
0,1041,701
0,876,1034
0,939,469
0,871,1960
0,718,686
0,680,508
0,1071,1930
0,1236,1152
0,646,1211
0,2330,522
2,2786,576
0,508,718
0,1152,871
0,1211,680
0,686,1071
0,1034,1041
0,469,1236
2,1960,2786
0,1930,939
0,701,646
0,576,2330
0,522,876
0,876,718
0,939,686
0,646,1034
0,1211,508
2,871,2786
0,1236,1960
0,1041,1071
0,2330,701
0,1152,522
0,1930,469
0,576,680
0,646,1041
0,1034,1211
0,522,1960
0,680,876
0,1071,1236
0,508,576
0,2330,939
0,701,871
2,2786,469
0,686,1152
0,718,1930
0,1071,508
0,1041,1930
0,469,686
0,939,701
0,1211,1236
0,718,2330
0,876,1152
0,1960,646
0,1034,680
0,871,576
2,522,2786
0,508,1960
0,701,1211
0,1152,1071
0,1236,522
0,2786,876
0,871,680
0,469,718
0,646,939
0,2330,1041
0,576,1034
0,1930,686
0,876,871
0,1041,1211
0,1236,508
0,701,469
0,522,1071
0,1152,646
0,939,1034
0,1960,2330
0,686,2786
0,576,718
0,680,1930
0,1211,939
0,1071,701
0,508,2786
0,876,1960
0,686,680
0,718,1236
0,646,576
0,2330,1152
0,1930,522
0,1034,871
0,469,1041
0,1071,576
0,1041,939
0,1236,876
0,1152,701
0,2786,1034
0,1960,718
0,871,522
0,646,686
0,1211,2330
0,1930,508
0,680,469
0,508,1041
0,876,1930
0,939,1152
0,701,1034
0,718,871
0,2330,1236
0,576,686
0,2786,1211
0,522,646
0,680,1960
0,469,1071
0,1041,646
0,1236,1930
0,1152,876
0,939,508
0,701,2330
2,576,2786
0,1034,1960
0,1211,1071
0,522,680
0,871,469
0,686,718
0,1071,871
0,876,701
0,1960,522
0,686,1211
0,718,1041
0,646,1236
2,2330,2786
0,1930,576
0,1034,1152
0,680,939
0,469,508
0,1041,2330
0,508,1034
0,1236,1071
0,939,1930
2,2786,686
0,1960,701
0,871,876
0,718,469
0,646,1152
0,680,576
0,522,1211
0,1041,1034
0,508,646
0,876,680
0,1152,1236
0,939,1071
0,701,718
2,2786,1960
0,1211,469
0,576,871
0,522,2330
0,686,1930
0,1071,646
2,1236,2786
0,1960,1152
0,718,508
0,469,701
0,2330,1211
0,1930,871
0,1034,576
0,686,939
0,680,1041
0,876,522
0,469,939
0,1152,686
0,701,1071
0,1960,876
0,871,1236
0,718,522
0,646,680
0,1211,576
0,2330,508
0,1930,1041
2,1034,2786
0,1071,1152
0,1041,469
0,508,876
0,1236,718
0,939,1211
0,576,1960
2,2786,871
0,646,701
0,522,1930
0,686,2330
0,680,1034
0,1041,1960
0,876,646
0,469,680
0,1152,1930
0,939,2330
2,2786,1071
0,871,718
0,1211,701
0,576,508
0,1034,1236
0,522,686
0,718,1152
0,1071,522
0,508,871
0,876,1041
0,2330,469
0,701,939
0,1930,1034
1,1960,1236
0,686,576
0,680,1211
2,646,2786
0,508,1071
0,469,522
0,1236,939
2,1152,2786
0,701,1041
0,646,718
0,1211,1930
0,2330,576
1,1960,871
0,1034,876
0,680,686
0,1071,1034
0,1041,508
0,876,1211
0,1152,469
0,939,646
0,576,1236
2,2786,718
0,871,2330
1,686,1960
0,1930,680
0,522,701
0,876,1071
0,469,576
0,2330,1930
0,701,686
2,2786,508
0,646,522
0,1034,939
0,871,1152
1,718,1960
0,680,1236
0,1211,1041
0,1071,718
0,1041,871
0,508,680
0,469,876
2,939,2786
0,576,646
0,1930,701
0,1960,1211
0,686,1034
0,1236,2330
0,522,1152
0,1041,686
0,1236,469
0,939,876
0,1930,718
2,2786,522
1,1960,508
0,1034,2330
0,1211,646
0,871,701
0,680,1071
0,1152,576
0,1071,469
0,508,1211
2,876,2786
1,2330,1960
0,1152,1041
0,701,680
0,576,939
0,646,1930
0,522,1236
0,686,871
0,718,1034
0,1071,1041
0,508,686
0,876,1236
0,469,1930
0,2330,680
2,2786,701
1,1960,939
0,1034,522
0,1211,1152
0,871,646
0,718,576
0,1041,522
0,469,1034
0,1236,686
0,1152,2330
0,939,871
0,701,508
0,576,876
0,1930,1071
1,646,1960
2,1211,2786
0,680,718
0,1071,2330
0,1041,576
0,1236,701
0,1152,939
2,2786,680
1,1960,1930
0,1034,646
0,522,508
0,871,1211
0,686,469
0,718,876
1,1071,1960
0,508,1236
0,876,686
0,2330,718
0,939,1041
0,701,1152
0,576,522
2,1930,2786
0,646,469
0,1211,1034
0,680,871
0,508,1930
1,469,1960
0,2330,876
0,1236,1211
0,576,1071
0,2786,1041
0,1034,701
0,522,871
0,686,646
0,718,939
0,680,1152
0,1071,686
0,1041,1236
0,469,2786
0,1152,508
0,939,522
0,701,576
0,1930,876
1,1960,680
0,646,2330
0,871,1034
0,718,1211
1,2249,2748
1,1518,4003
0,4042,3248
1,3771,3149
1,1885,2104
3,3165,3859
4,3863,5854
0,4590,3422
1,3359,2471
1,3149,3359
4,2748,3863
0,2104,3771
0,3422,4042
3,3859,1518
0,3248,4590
1,2471,3165
2,5854,1885
1,4003,2249
0,4590,2104
1,1518,2748
2,3149,5854
0,3165,4042
0,3359,3422
0,3771,3248
2,1885,4003
3,2249,3863
4,2471,3859
2,2748,1885
0,1518,4590
0,2104,3165
1,4003,3771
0,5854,3248
1,3422,2249
4,4042,2471
2,3863,3149
0,3859,3359
0,3359,4042
1,2249,1518
1,4590,4003
1,3771,2748
0,3149,2104
3,3165,3422
2,3248,3859
4,2471,5854
1,1885,3863
2,2748,4590
0,4042,3149
1,2104,3359
0,3422,2471
0,3165,3771
2,1518,3248
4,3859,1885
1,3863,4003
0,5854,2249
0,3359,3165
3,4590,2249
2,3771,3863
0,4003,2748
1,3248,3422
1,4042,5854
1,2471,2104
4,1885,1518
1,3149,3859
0,2249,1885
2,2104,3248
0,4003,2471
2,3165,4590
2,3859,3771
1,3863,3422
0,5854,3359
2,1518,4042
1,2748,3149
2,3165,5854
0,4590,3859
1,3248,2249
2,2104,2748
1,4042,1885
3,2471,3771
0,3359,3863
2,3422,1518
3,3149,4003
0,3859,4042
1,1518,2104
2,2748,2471
1,1885,3149
0,4003,3248
1,2249,3359
3,5854,4590
0,3863,3165
4,3771,3422
1,5854,3859
1,3422,2748
0,3165,4003
2,3359,1518
1,4590,3863
1,3248,1885
1,4042,3771
0,2471,3149
1,2104,2249
2,2249,2471
3,4003,4042
1,3859,3422
1,1518,5854
3,2748,3248
1,3863,2104
1,1885,3165
0,3149,4590
1,3771,3359
1,3422,5854
1,3165,2748
4,4590,1885
1,4042,3863
2,2471,1518
1,2104,3859
0,3359,4003
1,3771,2249
1,3149,3248
1,4003,2104
6,5854,3771
0,3859,3863
2,1518,3165
1,2748,4042
1,3248,2471
1,1885,3422
0,2249,3149
2,3359,4590
1,5854,2748
0,3422,3149
4,3165,2249
0,3859,4003
1,3248,3359
3,4042,2104
0,3863,1518
2,3771,4590
1,2471,1885
1,2249,4042
1,4003,3422
0,4590,2471
4,1518,3771
3,2748,3859
1,3863,3248
1,3149,3165
1,2104,5854
2,1885,3359
0,5854,4003
3,3422,2104
1,3859,2249
0,3359,2748
1,3248,3165
1,4042,4590
4,3771,1885
1,2471,3863
0,3149,1518
0,1220,1185
0,831,584
0,3027,1328
0,518,1006
0,1042,576
0,1103,735
0,747,1761
0,750,947
0,2300,941
0,1121,1399
0,894,555
0,1328,1399
0,941,1042
0,555,1220
0,584,3027
0,894,1121
0,576,518
0,831,735
0,947,1761
0,750,1185
0,1006,747
0,2300,1103
0,1399,831
0,1185,894
0,735,1042
0,947,576
0,1006,584
0,1761,941
0,1220,2300
0,1121,1328
0,3027,750
0,747,518
0,1103,555
0,518,1103
0,735,1761
0,831,1121
0,584,1185
0,941,555
0,750,1006
0,1328,747
0,1042,1399
0,894,2300
0,576,1220
0,3027,947
0,941,3027
0,555,735
0,1185,1121
0,1103,1006
0,947,1042
0,747,584
0,1399,518
0,2300,750
0,1761,1328
0,576,831
0,1220,894
0,1328,1185
0,518,2300
0,735,1220
0,831,947
0,584,941
0,894,747
0,3027,555
0,1399,576
0,1042,750
0,1121,1103
0,1006,1761
0,941,1185
0,555,518
0,1006,1328
0,1042,831
0,1761,1399
0,576,735
0,947,894
0,747,3027
0,2300,1121
0,1220,1103
0,750,584
0,1328,555
0,1185,1761
0,735,2300
0,831,941
0,894,576
0,1121,1006
0,3027,1042
0,584,947
0,1399,750
0,518,1220
0,1103,747
0,555,947
0,1220,3027
0,1185,831
0,1042,1121
0,1761,576
0,2300,584
0,747,1399
0,1006,735
0,750,894
0,1103,1328
0,831,555
0,584,1042
0,947,747
0,894,1006
0,735,1185
0,576,941
0,1399,1103
0,3027,2300
0,1328,1220
0,518,750
0,1121,1761
0,941,1328
0,1185,576
0,947,1006
0,1399,735
0,1220,831
0,747,1042
0,518,1121
0,2300,555
0,3027,894
0,750,1103
0,1761,584
0,1328,750
0,735,747
0,894,518
0,1006,1185
0,1042,1761
0,1103,947
0,584,1220
0,555,1399
0,1121,941
0,576,3027
0,831,2300
0,1399,2300
0,518,831
0,941,1103
0,1185,1042
0,1761,894
0,947,735
0,555,584
0,1220,747
0,3027,1006
0,750,1121
0,1328,576
0,1399,1185
0,1103,831
0,576,584
0,894,941
0,1006,1042
0,747,555
0,750,1220
0,518,1761
0,2300,1328
0,1121,947
0,735,3027
0,941,750
0,1042,2300
0,576,1121
0,1761,555
0,1220,1006
0,947,1399
0,1185,3027
0,1103,894
0,584,735
0,1328,518
0,831,747
0,555,1042
0,3027,1103
0,894,584
0,1328,947
0,747,941
0,750,735
0,518,1185
0,1121,1220
0,1006,1399
0,2300,576
0,831,1761
0,735,1121
0,1103,1185
0,1399,941
0,3027,518
0,1761,1220
0,576,555
0,584,1328
0,1042,894
0,947,2300
0,747,750
0,1006,831
0,941,1006
0,735,518
0,831,3027
0,576,1103
0,1220,947
0,555,750
0,1042,1328
0,1121,584
0,894,1399
0,2300,1761
0,1185,747
0,1328,735
0,518,947
0,1220,941
0,1185,555
0,831,894
0,584,1399
0,747,2300
0,3027,1121
0,1103,1042
0,750,1761
0,1006,576
0,1328,831
0,1399,3027
0,1042,1220
0,735,894
0,584,518
0,947,941
0,2300,1185
0,1121,747
0,1761,1103
0,576,750
0,555,1006
0,941,735
0,1220,1399
0,1042,518
0,1185,947
0,747,576
0,894,1328
0,1761,3027
