id,y,year,stage,match,home,away,stadium,week_day,month,day,tv_cnt,BS-TBS,NHK,地方局,ｽｶﾊﾟｰ,home_score,away_score,temperature,humidity,referee,home_01,home_02,home_03,home_04,home_05,home_06,home_07,home_08,home_09,home_10,home_11,away_01,away_02,away_03,away_04,away_05,away_06,away_07,away_08,away_09,away_10,away_11,weather_晴,weather_曇,weather_雨,weather_屋内,weather_雷,weather_雪,weather_霧,weather_のち,weather_時々,weather_一時,address,capa,h_lat,h_lng,station,age,child,population,area,absorp,home_stadium,lat,lng,away_stadium,a_lat,a_lng,discomfort,ranking_x,ranking_y,home_all,away_all,distance,week_absorp,jap_cnt,home_cum,away_cum
14011,21757,2012,1,2,39,21,22,5,3,17,5.0,0,1,1,1,3,2,7.6,83.0,36,35000000,58000000,50000000,30000000,36000000,30000000,50000000,50000000,30000000,20000000,2500000,90000000,2500000,150000000,30000000,20000000,2500000,52000000,2500000,30000000,100000000,65000000,0,1,1,0,0,0,0,1,0,0,35,49970,35.6642727,139.52713880000002,1.0,43.91,0.15,13300.0,2104.0,29.216455696202523,22,35.6642727,139.52713880000002,48,35.084571999999994,137.1700161,46.83192,2.0,2.0,391500000.0,544500000.0,266213.8199784358,54.345731748299826,2,3865,3993
14012,11831,2012,1,3,15,23,15,5,3,24,3.0,0,0,0,1,4,1,8.9,57.0,37,40000000,20000000,12000000,20000000,2500000,17000000,26000000,20000000,30000000,24000000,30000000,30000000,18000000,35000000,2500000,20000000,40000000,24000000,30000000,50000000,30000000,2500000,0,1,1,0,0,0,0,0,1,0,15,19694,38.3191584,140.8818571,1.0,44.82,0.18,2328.0,6862.0,77.73585365853658,15,38.3191584,140.8818571,56,35.9189126,139.6318202,50.380269999999996,1.0,7.0,241500000.0,282000000.0,248170.71011498573,54.345731748299826,0,2303,3344
14013,14349,2012,1,3,9,37,3,5,3,24,3.0,0,0,0,1,2,0,10.6,60.0,13,80000000,45000000,35000000,42000000,55000000,50000000,50000000,30000000,8800000,45000000,60000000,70000000,30000000,2500000,15000000,20000000,2500000,80000000,20000000,25000000,2500000,2500000,1,1,0,0,0,0,0,0,1,0,25,50000,34.4410767,132.3941448,1.0,45.46,0.18,2840.0,8480.0,32.98906976744186,3,34.4410767,132.3941448,44,35.991979,140.64042969999997,52.602399999999996,11.0,18.0,500800000.0,270000000.0,924731.220662492,54.345731748299826,1,3176,4160
14014,14777,2012,1,3,24,13,47,5,3,24,4.0,0,1,0,1,0,1,10.3,77.0,38,10000000,9000000,50000000,2500000,20000000,100000000,2500000,2500000,2500000,45000000,2500000,35000000,2500000,30000000,20000000,25000000,25000000,2500000,2500000,2500000,2500000,2500000,0,1,1,0,0,0,0,1,0,0,39,26530,35.5900902,139.6473358,1.0,43.8,0.18,9079.0,2416.0,63.73166666666666,47,35.5900902,139.6473358,4,34.613354,135.5146258,51.483689999999996,4.0,5.0,246500000.0,150000000.0,466053.00385709136,54.345731748299826,0,3073,2618
14015,11839,2012,1,3,19,39,10,5,3,24,3.0,0,0,0,1,0,2,12.4,51.0,27,25000000,2500000,30000000,2500000,30000000,2500000,20000000,30000000,35000000,2500000,90000000,35000000,58000000,50000000,30000000,36000000,30000000,30000000,50000000,50000000,20000000,2500000,1,0,0,0,0,0,0,0,0,0,3,30132,34.6567255,135.1681706,1.0,45.13,0.18,5558.0,8396.0,45.03840909090909,10,34.6567255,135.1681706,22,35.6642727,139.52713880000002,55.31176,3.0,2.0,270000000.0,391500000.0,491217.81002223876,54.345731748299826,2,2250,3865
14016,10611,2012,1,3,8,31,12,5,3,24,3.0,0,0,0,1,1,0,12.7,30.0,17,10000000,11000000,12000000,7000000,11000000,11000000,9000000,9000000,10000000,11000000,30000000,15000000,30000000,70000000,120000000,10000000,130000000,20000000,50000000,30000000,2500000,20000000,1,0,0,0,0,0,0,0,0,0,2,24490,33.3725083,130.5204243,1.0,45.63,0.2,840.0,2440.0,52.031794871794865,12,33.3725083,130.5204243,34,35.510047,139.6063366,56.0689,12.0,15.0,131000000.0,497500000.0,1023722.094450421,54.345731748299826,1,1454,3717
14017,20192,2012,1,3,7,34,36,5,3,24,3.0,0,0,0,1,1,2,20.6,35.0,36,2500000,10000000,2500000,2500000,2500000,2500000,20000000,2500000,2500000,2500000,2500000,25000000,55000000,40000000,60000000,45000000,80000000,100000000,30000000,60000000,6000000,2500000,0,0,0,1,0,0,0,0,0,0,6,39232,43.00959879999999,141.4195619,0.0,46.92,0.16,5431.0,83457.0,34.06033333333334,36,43.00959879999999,141.4195619,25,35.9019995,139.7146773,65.1189,12.0,9.0,52500000.0,503500000.0,640542.1279337127,54.345731748299826,0,1347,5353
14018,12209,2012,1,3,29,35,35,5,3,24,4.0,0,1,0,1,2,1,8.6,52.0,19,40000000,2500000,30000000,40000000,15000000,80000000,35000000,40000000,2500000,2500000,35000000,14000000,20000000,35000000,60000000,2500000,25000000,2500000,18000000,50000000,25000000,20000000,1,0,0,0,0,0,0,0,0,0,8,15349,35.848791600000006,139.97566980000002,0.0,44.86,0.17,6192.0,5082.0,73.93897435897436,35,35.848791600000006,139.97566980000002,55,34.9851684,138.481305,50.257279999999994,14.0,7.0,322500000.0,272000000.0,181259.3934954644,54.345731748299826,0,3551,3449
14019,10603,2012,1,3,21,1,21,6,3,25,3.0,0,0,0,1,2,1,6.4,58.0,30,90000000,2500000,150000000,30000000,20000000,65000000,2500000,60000000,2500000,100000000,30000000,2500000,2500000,15000000,15000000,15000000,10000000,25000000,2500000,2500000,2500000,2500000,1,1,0,0,0,0,0,0,1,0,28,20000,35.122624,136.943474,1.0,43.21,0.19,7443.0,5116.0,62.53833333333333,48,35.084571999999994,137.1700161,7,37.8824079,139.059359,46.86488,10.0,16.0,552500000.0,95000000.0,327897.55018501554,54.60982545725475,0,3993,2405
14020,15072,2012,1,3,5,12,17,6,3,25,3.0,0,0,0,1,1,2,4.6,56.0,23,2500000,45000000,25000000,110000000,20000000,15000000,150000000,30000000,30000000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,13000000,2500000,2500000,2500000,11000000,2500000,0,1,0,0,0,0,0,0,0,0,13,21000,34.8102495,135.5418537,0.0,44.63,0.18,8849.0,1901.0,64.04739130434784,17,34.8102495,135.5418537,13,34.7228036,137.87830219999998,44.568239999999996,16.0,5.0,432500000.0,46500000.0,259672.65486043543,54.60982545725475,2,3285,3391
14021,7936,2012,1,4,23,21,56,5,3,31,3.0,0,0,0,1,1,1,18.0,73.0,38,30000000,15000000,35000000,2500000,20000000,40000000,80000000,24000000,10000000,50000000,2500000,90000000,2500000,150000000,30000000,20000000,60000000,52000000,65000000,2500000,100000000,30000000,0,1,1,0,0,0,0,1,0,0,9,15600,35.9189126,139.6318202,1.0,44.09,0.18,7222.0,3768.0,69.50925,56,35.9189126,139.6318202,48,35.084571999999994,137.1700161,63.4496,13.0,6.0,309000000.0,602000000.0,282130.5273648071,54.345731748299826,0,3344,3993
14022,16229,2012,1,4,39,9,22,5,3,31,3.0,0,0,0,1,0,1,16.3,82.0,16,35000000,58000000,50000000,30000000,36000000,30000000,2500000,50000000,20000000,2500000,2500000,80000000,45000000,35000000,42000000,55000000,50000000,50000000,30000000,8800000,45000000,60000000,0,0,1,0,0,0,0,0,0,0,35,49970,35.6642727,139.52713880000002,1.0,43.91,0.15,13300.0,2104.0,29.216455696202523,22,35.6642727,139.52713880000002,3,34.4410767,132.3941448,61.009339999999995,2.0,5.0,316500000.0,500800000.0,798609.5172384738,54.345731748299826,3,3865,3176
14023,25743,2012,1,4,34,24,25,5,3,31,4.0,0,0,1,1,1,1,10.0,65.0,23,25000000,55000000,40000000,60000000,45000000,80000000,100000000,30000000,60000000,6000000,2500000,6000000,32000000,50000000,2500000,20000000,100000000,2500000,2500000,2500000,45000000,2500000,0,0,1,0,0,0,0,0,0,0,10,63700,35.9019995,139.7146773,0.0,44.09,0.18,7222.0,3768.0,57.114883720930244,25,35.9019995,139.7146773,47,35.5900902,139.6473358,51.54,6.0,8.0,503500000.0,265500000.0,27545.17974132498,54.345731748299826,0,5353,3073
14024,9042,2012,1,4,12,29,13,5,3,31,4.0,0,0,1,1,1,0,12.8,62.0,12,2500000,2500000,2500000,2500000,2500000,2500000,13000000,2500000,2500000,11000000,2500000,40000000,2500000,40000000,38000000,15000000,80000000,35000000,40000000,15000000,28000000,35000000,1,0,0,0,0,0,0,0,0,0,52,15165,34.7228036,137.87830219999998,1.0,45.74,0.18,3723.0,7255.0,67.74204545454545,13,34.7228036,137.87830219999998,35,35.848791600000006,139.97566980000002,55.65864,3.0,10.0,46500000.0,368500000.0,251412.92403230857,54.345731748299826,0,3391,3551
14025,9598,2012,1,4,13,15,4,5,3,31,3.0,0,0,0,1,1,2,12.4,49.0,36,35000000,2500000,25000000,20000000,7000000,25000000,2500000,2500000,2500000,2500000,2500000,40000000,20000000,12000000,20000000,2500000,17000000,26000000,20000000,30000000,70000000,30000000,1,0,1,0,0,0,0,1,0,0,14,19628,34.613354,135.5146258,1.0,44.63,0.18,8849.0,1901.0,68.44416666666666,4,34.613354,135.5146258,15,38.3191584,140.8818571,55.352239999999995,4.0,1.0,127000000.0,287500000.0,670991.0071850426,54.345731748299826,0,2618,2303
14026,16836,2012,1,4,1,5,7,5,3,31,3.0,0,0,0,1,1,1,7.1,64.0,31,2500000,2500000,15000000,17000000,15000000,15000000,25000000,23000000,2500000,2500000,2500000,2500000,45000000,25000000,110000000,20000000,15000000,150000000,30000000,33000000,2500000,2500000,0,0,1,0,0,0,0,0,0,0,30,42300,37.8824079,139.059359,0.0,47.23,0.17,2330.0,10364.0,59.46738095238097,7,37.8824079,139.059359,17,34.8102495,135.5418537,47.39756,16.0,16.0,122500000.0,435500000.0,464811.5394074356,54.345731748299826,2,2405,3285
14027,14216,2012,1,4,35,7,55,5,3,31,3.0,0,0,0,1,1,0,10.9,47.0,52,14000000,20000000,35000000,60000000,2500000,25000000,2500000,18000000,20000000,25000000,50000000,2500000,10000000,2500000,2500000,2500000,2500000,20000000,2500000,2500000,2500000,2500000,1,0,0,0,0,0,0,0,0,0,54,20281,34.9851684,138.481305,0.0,45.74,0.18,3723.0,7255.0,69.53225,55,34.9851684,138.481305,36,43.00959879999999,141.4195619,53.479769999999995,12.0,14.0,272000000.0,52500000.0,758492.2385320343,54.345731748299826,0,3449,1347
14028,22126,2012,1,4,31,37,34,5,3,31,3.0,0,0,0,1,0,0,9.4,50.0,51,15000000,30000000,70000000,120000000,10000000,20000000,30000000,30000000,130000000,20000000,2500000,70000000,20000000,2500000,15000000,20000000,80000000,7000000,25000000,20000000,2500000,70000000,0,1,1,0,0,0,0,1,0,0,41,72327,35.510047,139.6063366,1.0,43.8,0.18,9079.0,2416.0,38.24941176470588,34,35.510047,139.6063366,44,35.991979,140.64042969999997,51.417,15.0,18.0,477500000.0,332000000.0,121995.29485915828,54.345731748299826,0,3717,4160
14029,7719,2012,1,4,8,19,12,5,3,31,4.0,0,1,0,1,3,0,10.1,25.0,39,10000000,11000000,12000000,7000000,11000000,10000000,9000000,9000000,10000000,11000000,30000000,25000000,2500000,2500000,2500000,30000000,35000000,20000000,2500000,30000000,2500000,90000000,1,0,0,0,0,0,0,0,0,0,2,24490,33.3725083,130.5204243,1.0,45.63,0.2,840.0,2440.0,52.031794871794865,12,33.3725083,130.5204243,10,34.6567255,135.1681706,53.40575,11.0,9.0,130000000.0,242500000.0,525805.6871145784,54.345731748299826,1,1454,2250
14030,14023,2012,1,5,7,29,36,5,4,7,4.0,0,1,0,1,0,2,20.8,32.0,23,2500000,10000000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,40000000,2500000,30000000,38000000,2500000,80000000,35000000,15000000,2500000,28000000,35000000,0,0,0,1,0,0,0,0,0,0,6,39232,43.00959879999999,141.4195619,0.0,46.92,0.16,5431.0,83457.0,34.06033333333334,36,43.00959879999999,141.4195619,35,35.848791600000006,139.97566980000002,65.16144,18.0,13.0,35000000.0,308500000.0,638128.7217254615,54.345731748299826,0,1347,3551
14031,13147,2012,1,5,15,12,15,5,4,7,5.0,0,1,0,1,2,2,6.1,53.0,19,40000000,20000000,20000000,20000000,2500000,17000000,26000000,20000000,30000000,70000000,30000000,2500000,2500000,2500000,2500000,2500000,2500000,13000000,2500000,2500000,11000000,2500000,0,1,0,0,0,0,0,0,0,0,15,19694,38.3191584,140.8818571,1.0,44.82,0.18,2328.0,6862.0,77.73585365853658,15,38.3191584,140.8818571,13,34.7228036,137.87830219999998,46.862669999999994,1.0,2.0,295500000.0,46500000.0,451498.27536623116,54.345731748299826,0,2303,3391
14032,13824,2012,1,5,21,8,48,5,4,7,5.0,0,1,0,1,1,0,9.6,26.0,13,90000000,2500000,150000000,30000000,20000000,40000000,52000000,60000000,65000000,30000000,2500000,10000000,11000000,12000000,7000000,10000000,10000000,9000000,9000000,13000000,11000000,30000000,1,0,0,0,0,0,0,0,0,0,29,40000,35.084571999999994,137.1700161,0.0,43.21,0.19,7443.0,5116.0,51.5616,48,35.084571999999994,137.1700161,12,33.3725083,130.5204243,52.82904,6.0,5.0,542000000.0,132000000.0,750869.6168480889,54.345731748299826,1,3993,1454
14033,12709,2012,1,5,19,35,10,5,4,7,3.0,0,0,0,1,0,1,12.0,28.0,30,25000000,12000000,2500000,2500000,30000000,2500000,2500000,30000000,90000000,2500000,2500000,14000000,20000000,35000000,60000000,2500000,25000000,18000000,20000000,50000000,25000000,2500000,1,0,0,0,0,0,0,0,0,0,3,30132,34.6567255,135.1681706,1.0,45.13,0.18,5558.0,8396.0,45.03840909090909,10,34.6567255,135.1681706,55,34.9851684,138.481305,55.3424,11.0,10.0,202000000.0,272000000.0,369043.9944477311,54.345731748299826,0,2250,3449
14034,15854,2012,1,5,1,31,7,5,4,7,4.0,0,1,0,1,0,0,3.4,63.0,16,35000000,2500000,15000000,17000000,15000000,15000000,25000000,18000000,2500000,23000000,2500000,15000000,30000000,70000000,120000000,100000000,30000000,30000000,30000000,130000000,2500000,2500000,0,1,0,0,0,0,0,0,0,0,30,42300,37.8824079,139.059359,0.0,47.23,0.17,2330.0,10364.0,59.46738095238097,7,37.8824079,139.059359,34,35.510047,139.6063366,42.16558,15.0,14.0,170500000.0,560000000.0,209594.04316999018,54.345731748299826,1,2405,3717
14035,8180,2012,1,5,23,13,56,5,4,7,3.0,0,0,0,1,0,3,9.8,20.0,48,30000000,15000000,35000000,2500000,20000000,40000000,80000000,30000000,50000000,10000000,2500000,35000000,2500000,30000000,25000000,2500000,25000000,2500000,2500000,2500000,2500000,2500000,0,1,0,0,0,0,0,0,0,0,9,15600,35.9189126,139.6318202,1.0,44.09,0.18,7222.0,3768.0,69.50925,56,35.9189126,139.6318202,4,34.613354,135.5146258,53.3184,12.0,9.0,315000000.0,132500000.0,469795.12565331825,54.345731748299826,0,3344,2618
14036,23507,2012,1,5,37,34,44,5,4,7,3.0,0,0,0,1,1,3,9.3,31.0,35,70000000,20000000,2500000,15000000,30000000,7000000,80000000,25000000,10000000,2500000,70000000,25000000,55000000,40000000,60000000,45000000,80000000,100000000,30000000,60000000,100000000,2500000,1,1,0,0,0,0,0,1,0,0,48,40728,35.991979,140.64042969999997,0.0,45.31,0.18,2931.0,6096.0,38.830476190476176,44,35.991979,140.64042969999997,25,35.9019995,139.7146773,52.25417,17.0,6.0,332000000.0,597500000.0,103075.69398800864,54.345731748299826,0,4160,5353
14037,12318,2012,1,5,9,5,3,5,4,7,4.0,0,1,0,1,4,1,3.4,76.0,27,80000000,25000000,35000000,42000000,55000000,50000000,50000000,45000000,8800000,45000000,60000000,2500000,45000000,25000000,110000000,20000000,15000000,150000000,33000000,30000000,12000000,2500000,1,0,0,0,0,0,0,0,0,0,25,50000,34.4410767,132.3941448,1.0,45.46,0.18,2840.0,8480.0,32.98906976744186,3,34.4410767,132.3941448,17,34.8102495,135.5418537,40.744159999999994,3.0,15.0,495800000.0,445000000.0,351039.39185760333,54.345731748299826,3,3176,3285
14038,20996,2012,1,5,24,39,47,6,4,8,3.0,0,0,0,1,0,1,12.9,35.0,31,10000000,9000000,50000000,2500000,20000000,100000000,2500000,2500000,30000000,45000000,15000000,35000000,58000000,50000000,2500000,36000000,30000000,30000000,50000000,20000000,2500000,2500000,1,0,0,0,0,0,0,0,0,0,39,26530,35.5900902,139.6473358,1.0,43.8,0.18,9079.0,2416.0,63.73166666666666,47,35.5900902,139.6473358,22,35.6642727,139.52713880000002,56.21385,6.0,4.0,286500000.0,316500000.0,14757.605943568891,54.60982545725475,2,3073,3865
14039,12318,2012,1,6,29,15,35,5,4,14,3.0,0,0,0,1,2,3,10.2,93.0,31,40000000,2500000,40000000,30000000,12000000,80000000,35000000,15000000,2500000,35000000,28000000,40000000,20000000,20000000,20000000,2500000,2500000,17000000,20000000,30000000,70000000,30000000,0,0,1,0,0,0,0,0,0,0,8,15349,35.848791600000006,139.97566980000002,0.0,44.86,0.17,6192.0,5082.0,73.93897435897436,35,35.848791600000006,139.97566980000002,15,38.3191584,140.8818571,50.65414,9.0,1.0,320000000.0,272000000.0,234904.36430334602,54.345731748299826,0,3551,2303
