year,stage,match,team,ranking
2012,1,5,横浜Ｆ・マリノス,14
2012,1,5,アルビレックス新潟,15
2012,1,5,鹿島アントラーズ,16
2012,1,5,コンサドーレ札幌,17
2012,1,5,ガンバ大阪,18
2012,1,6,ベガルタ仙台,1
2012,1,6,名古屋グランパス,2
2012,1,6,浦和レッズ,3
2012,1,6,清水エスパルス,4
2012,1,6,ＦＣ東京,5
2012,1,6,サンフレッチェ広島,6
2012,1,6,ジュビロ磐田,7
2012,1,6,サガン鳥栖,8
2012,1,6,セレッソ大阪,9
2012,1,6,柏レイソル,10
2012,1,6,川崎フロンターレ,10
2012,1,6,ヴィッセル神戸,12
2012,1,6,アルビレックス新潟,13
2012,1,6,大宮アルディージャ,14
2012,1,6,ガンバ大阪,15
2012,1,6,鹿島アントラーズ,16
2012,1,6,横浜Ｆ・マリノス,17
2012,1,6,コンサドーレ札幌,18
2012,1,7,ベガルタ仙台,1
2012,1,7,ジュビロ磐田,2
2012,1,7,名古屋グランパス,3
2012,1,7,サガン鳥栖,4
2012,1,7,サンフレッチェ広島,5
2012,1,7,浦和レッズ,6
2012,1,7,清水エスパルス,7
2012,1,7,ＦＣ東京,8
2012,1,7,川崎フロンターレ,9
2012,1,7,セレッソ大阪,10
2012,1,7,ヴィッセル神戸,11
2012,1,7,大宮アルディージャ,12
2012,1,7,ガンバ大阪,13
2012,1,7,鹿島アントラーズ,14
2012,1,7,柏レイソル,15
2012,1,7,アルビレックス新潟,16
2012,1,7,横浜Ｆ・マリノス,17
2012,1,7,コンサドーレ札幌,18
2012,1,8,ベガルタ仙台,1
2012,1,8,サンフレッチェ広島,2
2012,1,8,浦和レッズ,3
2012,1,8,清水エスパルス,4
2012,1,8,サガン鳥栖,5
2012,1,8,ジュビロ磐田,6
2012,1,8,名古屋グランパス,7
2012,1,8,セレッソ大阪,8
2012,1,8,ＦＣ東京,9
2012,1,8,大宮アルディージャ,10
2012,1,8,鹿島アントラーズ,11
2012,1,8,川崎フロンターレ,12
2012,1,8,ヴィッセル神戸,13
2012,1,8,柏レイソル,14
2012,1,8,横浜Ｆ・マリノス,15
2012,1,8,ガンバ大阪,16
2012,1,8,アルビレックス新潟,17
2012,1,8,コンサドーレ札幌,18
2012,1,9,ベガルタ仙台,1
2012,1,9,清水エスパルス,2
2012,1,9,浦和レッズ,3
2012,1,9,サンフレッチェ広島,4
2012,1,9,名古屋グランパス,5
2012,1,9,サガン鳥栖,6
2012,1,9,ジュビロ磐田,7
2012,1,9,川崎フロンターレ,8
2012,1,9,セレッソ大阪,9
2012,1,9,ヴィッセル神戸,10
2012,1,9,ＦＣ東京,11
2012,1,9,柏レイソル,12
2012,1,9,大宮アルディージャ,13
2012,1,9,横浜Ｆ・マリノス,14
2012,1,9,鹿島アントラーズ,15
2012,1,9,アルビレックス新潟,16
2012,1,9,ガンバ大阪,17
2012,1,9,コンサドーレ札幌,18
2012,1,10,ベガルタ仙台,1
2012,1,10,清水エスパルス,2
2012,1,10,サンフレッチェ広島,3
2012,1,10,浦和レッズ,4
2012,1,10,川崎フロンターレ,5
2012,1,10,サガン鳥栖,6
2012,1,10,ＦＣ東京,7
2012,1,10,ヴィッセル神戸,8
2012,1,10,ジュビロ磐田,9
2012,1,10,名古屋グランパス,10
2012,1,10,大宮アルディージャ,11
2012,1,10,横浜Ｆ・マリノス,12
2012,1,10,セレッソ大阪,13
2012,1,10,鹿島アントラーズ,14
2012,1,10,柏レイソル,15
2012,1,10,ガンバ大阪,16
2012,1,10,アルビレックス新潟,17
2012,1,10,コンサドーレ札幌,18
2012,1,11,ベガルタ仙台,1
2012,1,11,清水エスパルス,2
2012,1,11,サンフレッチェ広島,3
2012,1,11,ジュビロ磐田,4
2012,1,11,名古屋グランパス,5
2012,1,11,ＦＣ東京,5
2012,1,11,浦和レッズ,7
2012,1,11,サガン鳥栖,8
2012,1,11,横浜Ｆ・マリノス,9
2012,1,11,川崎フロンターレ,10
2012,1,11,大宮アルディージャ,11
2012,1,11,ヴィッセル神戸,12
2012,1,11,柏レイソル,13
2012,1,11,セレッソ大阪,14
2012,1,11,鹿島アントラーズ,15
2012,1,11,アルビレックス新潟,16
2012,1,11,ガンバ大阪,16
2012,1,11,コンサドーレ札幌,18
2012,1,12,ベガルタ仙台,1
2012,1,12,サンフレッチェ広島,2
2012,1,12,清水エスパルス,3
2012,1,12,ジュビロ磐田,4
2012,1,12,ＦＣ東京,5
2012,1,12,浦和レッズ,6
2012,1,12,川崎フロンターレ,7
2012,1,12,名古屋グランパス,8
2012,1,12,柏レイソル,9
2012,1,12,横浜Ｆ・マリノス,10
2012,1,12,サガン鳥栖,11
2012,1,12,ヴィッセル神戸,12
2012,1,12,大宮アルディージャ,13
2012,1,12,鹿島アントラーズ,14
2012,1,12,セレッソ大阪,15
2012,1,12,ガンバ大阪,16
2012,1,12,アルビレックス新潟,17
2012,1,12,コンサドーレ札幌,18
2012,1,13,ベガルタ仙台,1
2012,1,13,サンフレッチェ広島,2
2012,1,13,ジュビロ磐田,3
2012,1,13,清水エスパルス,4
2012,1,13,川崎フロンターレ,5
2012,1,13,ＦＣ東京,6
2012,1,13,浦和レッズ,6
2012,1,13,柏レイソル,8
2012,1,13,サガン鳥栖,9
2012,1,13,横浜Ｆ・マリノス,10
2012,1,13,名古屋グランパス,11
2012,1,13,鹿島アントラーズ,12
2012,1,13,セレッソ大阪,13
2012,1,13,ヴィッセル神戸,14
2012,1,13,大宮アルディージャ,15
2012,1,13,ガンバ大阪,16
2012,1,13,アルビレックス新潟,17
2012,1,13,コンサドーレ札幌,18
2012,1,14,ベガルタ仙台,1
2012,1,14,サンフレッチェ広島,2
2012,1,14,浦和レッズ,3
2012,1,14,川崎フロンターレ,4
2012,1,14,ジュビロ磐田,5
2012,1,14,柏レイソル,6
2012,1,14,清水エスパルス,7
2012,1,14,ＦＣ東京,8
2012,1,14,名古屋グランパス,9
2012,1,14,横浜Ｆ・マリノス,10
2012,1,14,サガン鳥栖,11
2012,1,14,ヴィッセル神戸,12
2012,1,14,鹿島アントラーズ,13
2012,1,14,セレッソ大阪,14
2012,1,14,大宮アルディージャ,15
2012,1,14,アルビレックス新潟,16
2012,1,14,ガンバ大阪,17
2012,1,14,コンサドーレ札幌,18
2012,1,15,ベガルタ仙台,1
2012,1,15,サンフレッチェ広島,2
2012,1,15,川崎フロンターレ,3
2012,1,15,浦和レッズ,3
2012,1,15,ＦＣ東京,5
2012,1,15,名古屋グランパス,6
2012,1,15,柏レイソル,7
2012,1,15,清水エスパルス,7
2012,1,15,ジュビロ磐田,9
2012,1,15,横浜Ｆ・マリノス,10
2012,1,15,ヴィッセル神戸,11
2012,1,15,サガン鳥栖,12
2012,1,15,鹿島アントラーズ,13
2012,1,15,セレッソ大阪,14
2012,1,15,大宮アルディージャ,15
2012,1,15,ガンバ大阪,16
2012,1,15,アルビレックス新潟,17
2012,1,15,コンサドーレ札幌,18
2012,1,16,ベガルタ仙台,1
2012,1,16,サンフレッチェ広島,2
2012,1,16,柏レイソル,3
2012,1,16,ジュビロ磐田,4
2012,1,16,浦和レッズ,5
2012,1,16,川崎フロンターレ,6
2012,1,16,名古屋グランパス,7
2012,1,16,ＦＣ東京,8
2012,1,16,ヴィッセル神戸,9
2012,1,16,サガン鳥栖,9
2012,1,16,清水エスパルス,11
2012,1,16,横浜Ｆ・マリノス,12
2012,1,16,大宮アルディージャ,13
2012,1,16,鹿島アントラーズ,14
2012,1,16,セレッソ大阪,15
2012,1,16,アルビレックス新潟,16
2012,1,16,ガンバ大阪,17
2012,1,16,コンサドーレ札幌,18
2012,1,17,ベガルタ仙台,1
2012,1,17,サンフレッチェ広島,2
2012,1,17,浦和レッズ,3
2012,1,17,ＦＣ東京,4
2012,1,17,名古屋グランパス,5
2012,1,17,川崎フロンターレ,6
2012,1,17,柏レイソル,7
2012,1,17,ジュビロ磐田,8
2012,1,17,清水エスパルス,9
2012,1,17,横浜Ｆ・マリノス,10
2012,1,17,サガン鳥栖,11
2012,1,17,ヴィッセル神戸,12
2012,1,17,鹿島アントラーズ,13
2012,1,17,セレッソ大阪,14
2012,1,17,大宮アルディージャ,15
2012,1,17,アルビレックス新潟,16
2012,1,17,ガンバ大阪,17
2012,1,17,コンサドーレ札幌,18
2012,1,18,サンフレッチェ広島,1
2012,1,18,ベガルタ仙台,2
2012,1,18,浦和レッズ,3
2012,1,18,ジュビロ磐田,4
2012,1,18,柏レイソル,5
2012,1,18,名古屋グランパス,6
2012,1,18,ＦＣ東京,7
2012,1,18,横浜Ｆ・マリノス,8
2012,1,18,サガン鳥栖,9
2012,1,18,川崎フロンターレ,10
2012,1,18,鹿島アントラーズ,11
2012,1,18,ヴィッセル神戸,12
2012,1,18,清水エスパルス,13
2012,1,18,大宮アルディージャ,14
2012,1,18,セレッソ大阪,15
2012,1,18,アルビレックス新潟,16
2012,1,18,ガンバ大阪,17
2012,1,18,コンサドーレ札幌,18
2012,1,19,サンフレッチェ広島,1
2012,1,19,ベガルタ仙台,2
2012,1,19,浦和レッズ,3
2012,1,19,柏レイソル,4
2012,1,19,川崎フロンターレ,5
2012,1,19,横浜Ｆ・マリノス,6
2012,1,19,ジュビロ磐田,7
2012,1,19,名古屋グランパス,8
2012,1,19,サガン鳥栖,9
2012,1,19,ＦＣ東京,10
2012,1,19,鹿島アントラーズ,11
2012,1,19,ヴィッセル神戸,12
2012,1,19,清水エスパルス,13
2012,1,19,アルビレックス新潟,14
2012,1,19,大宮アルディージャ,15
2012,1,19,セレッソ大阪,16
2012,1,19,ガンバ大阪,17
2012,1,19,コンサドーレ札幌,18
2012,1,20,ベガルタ仙台,1
2012,1,20,サンフレッチェ広島,2
2012,1,20,浦和レッズ,3
2012,1,20,柏レイソル,4
2012,1,20,名古屋グランパス,5
2012,1,20,サガン鳥栖,6
2012,1,20,ジュビロ磐田,7
2012,1,20,川崎フロンターレ,7
2012,1,20,横浜Ｆ・マリノス,7
2012,1,20,ＦＣ東京,10
2012,1,20,清水エスパルス,11
2012,1,20,鹿島アントラーズ,12
2012,1,20,ヴィッセル神戸,13
2012,1,20,セレッソ大阪,14
2012,1,20,アルビレックス新潟,15
2012,1,20,大宮アルディージャ,16
2012,1,20,ガンバ大阪,17
2012,1,20,コンサドーレ札幌,18
2012,1,21,サンフレッチェ広島,1
2012,1,21,ベガルタ仙台,2
2012,1,21,柏レイソル,3
2012,1,21,浦和レッズ,4
2012,1,21,横浜Ｆ・マリノス,5
2012,1,21,サガン鳥栖,6
2012,1,21,名古屋グランパス,7
2012,1,21,清水エスパルス,8
2012,1,21,ジュビロ磐田,9
2012,1,21,川崎フロンターレ,9
2012,1,21,ＦＣ東京,11
2012,1,21,鹿島アントラーズ,12
2012,1,21,ヴィッセル神戸,13
2012,1,21,セレッソ大阪,14
2012,1,21,アルビレックス新潟,15
2012,1,21,大宮アルディージャ,16
2012,1,21,ガンバ大阪,17
2012,1,21,コンサドーレ札幌,18
2012,1,22,サンフレッチェ広島,1
2012,1,22,ベガルタ仙台,2
2012,1,22,浦和レッズ,3
2012,1,22,柏レイソル,4
2012,1,22,横浜Ｆ・マリノス,5
2012,1,22,ジュビロ磐田,6
2012,1,22,清水エスパルス,7
2012,1,22,サガン鳥栖,8
2012,1,22,ヴィッセル神戸,9
2012,1,22,川崎フロンターレ,10
2012,1,22,名古屋グランパス,11
2012,1,22,ＦＣ東京,12
2012,1,22,鹿島アントラーズ,13
2012,1,22,大宮アルディージャ,14
2012,1,22,セレッソ大阪,15
2012,1,22,ガンバ大阪,16
2012,1,22,アルビレックス新潟,17
2012,1,22,コンサドーレ札幌,18
2012,1,23,サンフレッチェ広島,1
2012,1,23,ベガルタ仙台,2
2012,1,23,浦和レッズ,3
2012,1,23,ジュビロ磐田,4
2012,1,23,柏レイソル,5
2012,1,23,名古屋グランパス,6
2012,1,23,サガン鳥栖,7
2012,1,23,横浜Ｆ・マリノス,8
2012,1,23,清水エスパルス,9
2012,1,23,ＦＣ東京,10
2012,1,23,ヴィッセル神戸,11
2012,1,23,川崎フロンターレ,12
2012,1,23,鹿島アントラーズ,13
2012,1,23,セレッソ大阪,14
2012,1,23,ガンバ大阪,15
2012,1,23,アルビレックス新潟,16
2012,1,23,大宮アルディージャ,17
2012,1,23,コンサドーレ札幌,18
2012,1,24,ベガルタ仙台,1
2012,1,24,サンフレッチェ広島,2
2012,1,24,浦和レッズ,3
2012,1,24,サガン鳥栖,4
2012,1,24,名古屋グランパス,5
2012,1,24,ジュビロ磐田,6
2012,1,24,清水エスパルス,7
2012,1,24,ＦＣ東京,8
2012,1,24,柏レイソル,9
2012,1,24,横浜Ｆ・マリノス,10
2012,1,24,ヴィッセル神戸,11
2012,1,24,鹿島アントラーズ,12
2012,1,24,川崎フロンターレ,13
2012,1,24,セレッソ大阪,14
2012,1,24,大宮アルディージャ,15
2012,1,24,アルビレックス新潟,16
2012,1,24,ガンバ大阪,17
2012,1,24,コンサドーレ札幌,18
2012,1,25,サンフレッチェ広島,1
2012,1,25,浦和レッズ,2
2012,1,25,ベガルタ仙台,3
2012,1,25,名古屋グランパス,4
2012,1,25,ジュビロ磐田,5
2012,1,25,柏レイソル,6
2012,1,25,清水エスパルス,7
2012,1,25,サガン鳥栖,8
2012,1,25,ＦＣ東京,9
2012,1,25,横浜Ｆ・マリノス,10
2012,1,25,川崎フロンターレ,11
2012,1,25,鹿島アントラーズ,11
2012,1,25,ヴィッセル神戸,13
2012,1,25,セレッソ大阪,14
2012,1,25,大宮アルディージャ,15
2012,1,25,アルビレックス新潟,16
2012,1,25,ガンバ大阪,16
2012,1,25,コンサドーレ札幌,18
2012,1,26,サンフレッチェ広島,1
2012,1,26,ベガルタ仙台,2
2012,1,26,浦和レッズ,3
2012,1,26,ジュビロ磐田,4
2012,1,26,サガン鳥栖,5
2012,1,26,名古屋グランパス,6
2012,1,26,柏レイソル,7
2012,1,26,横浜Ｆ・マリノス,8
2012,1,26,清水エスパルス,9
2012,1,26,ＦＣ東京,10
2012,1,26,川崎フロンターレ,11
2012,1,26,鹿島アントラーズ,12
2012,1,26,ヴィッセル神戸,12
2012,1,26,セレッソ大阪,14
2012,1,26,大宮アルディージャ,15
2012,1,26,ガンバ大阪,16
2012,1,26,アルビレックス新潟,17
2012,1,26,コンサドーレ札幌,18
2012,1,27,サンフレッチェ広島,1
2012,1,27,浦和レッズ,2
2012,1,27,ベガルタ仙台,3
2012,1,27,ジュビロ磐田,4
2012,1,27,清水エスパルス,5
2012,1,27,サガン鳥栖,6
2012,1,27,名古屋グランパス,7
2012,1,27,ＦＣ東京,8
2012,1,27,川崎フロンターレ,9
2012,1,27,横浜Ｆ・マリノス,10
2012,1,27,柏レイソル,11
2012,1,27,セレッソ大阪,12
2012,1,27,鹿島アントラーズ,13
2012,1,27,ヴィッセル神戸,14
2012,1,27,大宮アルディージャ,15
2012,1,27,アルビレックス新潟,16
2012,1,27,ガンバ大阪,17
2012,1,27,コンサドーレ札幌,18
2012,1,28,サンフレッチェ広島,1
2012,1,28,ベガルタ仙台,2
2012,1,28,浦和レッズ,3
2012,1,28,清水エスパルス,4
2012,1,28,柏レイソル,5
2012,1,28,名古屋グランパス,6
2012,1,28,ジュビロ磐田,7
2012,1,28,サガン鳥栖,8
2012,1,28,横浜Ｆ・マリノス,9
2012,1,28,ＦＣ東京,10
2012,1,28,川崎フロンターレ,11
2012,1,28,セレッソ大阪,12
2012,1,28,鹿島アントラーズ,13
2012,1,28,ヴィッセル神戸,14
2012,1,28,大宮アルディージャ,15
2012,1,28,アルビレックス新潟,16
2012,1,28,ガンバ大阪,17
2012,1,28,コンサドーレ札幌,18
2012,1,29,ベガルタ仙台,1
2012,1,29,サンフレッチェ広島,2
2012,1,29,浦和レッズ,3
2012,1,29,名古屋グランパス,4
2012,1,29,柏レイソル,5
2012,1,29,清水エスパルス,6
2012,1,29,横浜Ｆ・マリノス,7
2012,1,29,ジュビロ磐田,8
2012,1,29,ＦＣ東京,9
2012,1,29,サガン鳥栖,10
2012,1,29,セレッソ大阪,11
2012,1,29,川崎フロンターレ,12
2012,1,29,鹿島アントラーズ,13
2012,1,29,ヴィッセル神戸,14
2012,1,29,大宮アルディージャ,15
2012,1,29,ガンバ大阪,16
2012,1,29,アルビレックス新潟,17
2012,1,29,コンサドーレ札幌,18
2012,1,30,サンフレッチェ広島,1
2012,1,30,ベガルタ仙台,1
2012,1,30,浦和レッズ,3
2012,1,30,清水エスパルス,4
2012,1,30,名古屋グランパス,5
2012,1,30,柏レイソル,6
2012,1,30,ＦＣ東京,7
2012,1,30,サガン鳥栖,8
2012,1,30,横浜Ｆ・マリノス,9
2012,1,30,ジュビロ磐田,10
2012,1,30,川崎フロンターレ,11
2012,1,30,セレッソ大阪,12
2012,1,30,鹿島アントラーズ,13
2012,1,30,大宮アルディージャ,14
2012,1,30,ヴィッセル神戸,15
2012,1,30,ガンバ大阪,16
2012,1,30,アルビレックス新潟,17
2012,1,30,コンサドーレ札幌,18
2012,1,31,サンフレッチェ広島,1
2012,1,31,ベガルタ仙台,2
2012,1,31,名古屋グランパス,3
2012,1,31,浦和レッズ,4
2012,1,31,清水エスパルス,5
2012,1,31,サガン鳥栖,6
2012,1,31,横浜Ｆ・マリノス,7
2012,1,31,柏レイソル,8
2012,1,31,ＦＣ東京,9
2012,1,31,川崎フロンターレ,10
2012,1,31,ジュビロ磐田,11
2012,1,31,セレッソ大阪,12
2012,1,31,鹿島アントラーズ,13
2012,1,31,大宮アルディージャ,14
2012,1,31,ヴィッセル神戸,15
2012,1,31,アルビレックス新潟,16
2012,1,31,ガンバ大阪,17
2012,1,31,コンサドーレ札幌,18
2012,1,32,サンフレッチェ広島,1
2012,1,32,ベガルタ仙台,2
2012,1,32,名古屋グランパス,3
2012,1,32,浦和レッズ,3
2012,1,32,サガン鳥栖,5
2012,1,32,柏レイソル,6
2012,1,32,清水エスパルス,7
2012,1,32,横浜Ｆ・マリノス,8
2012,1,32,川崎フロンターレ,9
2012,1,32,ＦＣ東京,10
2012,1,32,ジュビロ磐田,11
2012,1,32,セレッソ大阪,12
2012,1,32,大宮アルディージャ,13
2012,1,32,鹿島アントラーズ,14
2012,1,32,ヴィッセル神戸,15
2012,1,32,ガンバ大阪,16
2012,1,32,アルビレックス新潟,17
2012,1,32,コンサドーレ札幌,18
2012,1,33,サンフレッチェ広島,1
2012,1,33,ベガルタ仙台,2
2012,1,33,サガン鳥栖,3
2012,1,33,柏レイソル,4
2012,1,33,名古屋グランパス,5
2012,1,33,浦和レッズ,6
2012,1,33,横浜Ｆ・マリノス,7
2012,1,33,川崎フロンターレ,8
2012,1,33,清水エスパルス,9
2012,1,33,ＦＣ東京,10
2012,1,33,大宮アルディージャ,11
2012,1,33,鹿島アントラーズ,12
2012,1,33,ジュビロ磐田,13
2012,1,33,セレッソ大阪,14
2012,1,33,ヴィッセル神戸,15
2012,1,33,ガンバ大阪,16
2012,1,33,アルビレックス新潟,17
2012,1,33,コンサドーレ札幌,18
2012,1,34,サンフレッチェ広島,1
2012,1,34,ベガルタ仙台,2
2012,1,34,浦和レッズ,3
2012,1,34,横浜Ｆ・マリノス,4
2012,1,34,サガン鳥栖,5
2012,1,34,名古屋グランパス,6
2012,1,34,柏レイソル,6
2012,1,34,川崎フロンターレ,8
2012,1,34,清水エスパルス,9
2012,1,34,ＦＣ東京,10
2012,1,34,鹿島アントラーズ,11
2012,1,34,ジュビロ磐田,12
2012,1,34,大宮アルディージャ,13
2012,1,34,セレッソ大阪,14
2012,1,34,アルビレックス新潟,15
2012,1,34,ヴィッセル神戸,16
2012,1,34,ガンバ大阪,17
2012,1,34,コンサドーレ札幌,18
2012,2,1,愛媛ＦＣ,1
2012,2,1,東京ヴェルディ,1
2012,2,1,ジェフユナイテッド千葉,1
2012,2,1,ザスパ草津,4
2012,2,1,アビスパ福岡,5
2012,2,1,水戸ホーリーホック,5
2012,2,1,ヴァンフォーレ甲府,5
2012,2,1,徳島ヴォルティス,5
2012,2,1,湘南ベルマーレ,5
2012,2,1,ＦＣ岐阜,10
2012,2,1,ガイナーレ鳥取,10
2012,2,1,ファジアーノ岡山,12
2012,2,1,カターレ富山,12
2012,2,1,大分トリニータ,14
2012,2,1,京都サンガF.C.,15
2012,2,1,横浜ＦＣ,15
2012,2,1,栃木ＳＣ,15
2012,2,1,ロアッソ熊本,15
2012,2,1,ギラヴァンツ北九州,15
2012,2,1,ＦＣ町田ゼルビア,20
2012,2,1,松本山雅ＦＣ,20
2012,2,1,モンテディオ山形,20
2012,2,2,徳島ヴォルティス,1
2012,2,2,湘南ベルマーレ,2
2012,2,2,ヴァンフォーレ甲府,2
2012,2,2,水戸ホーリーホック,4
2012,2,2,アビスパ福岡,4
2012,2,2,愛媛ＦＣ,6
2012,2,2,大分トリニータ,7
2012,2,2,京都サンガF.C.,8
2012,2,2,ロアッソ熊本,9
2012,2,2,モンテディオ山形,9
2012,2,2,ザスパ草津,11
2012,2,2,東京ヴェルディ,11
2012,2,2,ジェフユナイテッド千葉,13
2012,2,2,ファジアーノ岡山,14
2012,2,2,ギラヴァンツ北九州,15
2012,2,2,横浜ＦＣ,15
2012,2,2,ガイナーレ鳥取,17
2012,2,2,カターレ富山,18
2012,2,2,ＦＣ岐阜,19
2012,2,2,松本山雅ＦＣ,20
2012,2,2,ＦＣ町田ゼルビア,21
2012,2,2,栃木ＳＣ,22
2012,2,3,水戸ホーリーホック,1
2012,2,3,湘南ベルマーレ,2
2012,2,3,ヴァンフォーレ甲府,3
2012,2,3,東京ヴェルディ,4
2012,2,3,ジェフユナイテッド千葉,5
2012,2,3,京都サンガF.C.,6
2012,2,3,モンテディオ山形,7
2012,2,3,徳島ヴォルティス,8
2012,2,3,アビスパ福岡,9
2012,2,3,ザスパ草津,10
2012,2,3,愛媛ＦＣ,11
2012,2,3,ＦＣ町田ゼルビア,12
2012,2,3,松本山雅ＦＣ,13
2012,2,3,栃木ＳＣ,13
2012,2,3,大分トリニータ,15
2012,2,3,ロアッソ熊本,16
2012,2,3,ＦＣ岐阜,17
2012,2,3,ファジアーノ岡山,18
2012,2,3,ギラヴァンツ北九州,19
2012,2,3,カターレ富山,20
2012,2,3,ガイナーレ鳥取,21
2012,2,3,横浜ＦＣ,21
2012,2,4,湘南ベルマーレ,1
2012,2,4,モンテディオ山形,2
2012,2,4,ヴァンフォーレ甲府,3
2012,2,4,水戸ホーリーホック,4
2012,2,4,愛媛ＦＣ,5
2012,2,4,ジェフユナイテッド千葉,6
2012,2,4,アビスパ福岡,6
2012,2,4,徳島ヴォルティス,6
2012,2,4,東京ヴェルディ,6
2012,2,4,ＦＣ町田ゼルビア,10
2012,2,4,大分トリニータ,10
2012,2,4,京都サンガF.C.,12
2012,2,4,ザスパ草津,13
2012,2,4,ガイナーレ鳥取,14
2012,2,4,ギラヴァンツ北九州,15
2012,2,4,栃木ＳＣ,16
2012,2,4,ロアッソ熊本,17
2012,2,4,松本山雅ＦＣ,18
2012,2,4,カターレ富山,19
2012,2,4,横浜ＦＣ,19
2012,2,4,ＦＣ岐阜,21
2012,2,4,ファジアーノ岡山,22
2012,2,5,湘南ベルマーレ,1
2012,2,5,ヴァンフォーレ甲府,2
2012,2,5,アビスパ福岡,3
2012,2,5,ジェフユナイテッド千葉,4
2012,2,5,東京ヴェルディ,5
2012,2,5,水戸ホーリーホック,6
2012,2,5,大分トリニータ,7
2012,2,5,京都サンガF.C.,8
2012,2,5,モンテディオ山形,9
2012,2,5,愛媛ＦＣ,10
2012,2,5,ギラヴァンツ北九州,11
2012,2,5,徳島ヴォルティス,12
2012,2,5,ＦＣ町田ゼルビア,13
2012,2,5,ファジアーノ岡山,14
2012,2,5,栃木ＳＣ,15
2012,2,5,ザスパ草津,16
2012,2,5,ロアッソ熊本,17
2012,2,5,松本山雅ＦＣ,18
2012,2,5,ガイナーレ鳥取,19
2012,2,5,カターレ富山,20
2012,2,5,横浜ＦＣ,21
2012,2,5,ＦＣ岐阜,21
2012,2,6,湘南ベルマーレ,1
2012,2,6,東京ヴェルディ,2
2012,2,6,京都サンガF.C.,3
2012,2,6,大分トリニータ,4
2012,2,6,ヴァンフォーレ甲府,5
2012,2,6,水戸ホーリーホック,6
2012,2,6,ギラヴァンツ北九州,7
2012,2,6,モンテディオ山形,8
2012,2,6,アビスパ福岡,9
2012,2,6,ジェフユナイテッド千葉,10
2012,2,6,ファジアーノ岡山,11
2012,2,6,栃木ＳＣ,11
2012,2,6,愛媛ＦＣ,13
2012,2,6,ロアッソ熊本,14
2012,2,6,徳島ヴォルティス,15
