id,y,year,stage,match,gameday,time,home,away,stadium,tv,address,capa,absorp
14009,10653,2012,Ｊ１,第２節第１日,03/17(土),17:04,ジュビロ磐田,サガン鳥栖,ヤマハスタジアム（磐田）,スカパー／ｅ２／スカパー光,静岡県磐田市新貝2500,15165,0.7567117265633587
14010,14036,2012,Ｊ１,第２節第１日,03/17(土),17:06,ヴィッセル神戸,コンサドーレ札幌,ノエビアスタジアム神戸,スカパー／ｅ２／スカパー光,兵庫県神戸市兵庫区御崎町1-2-2,30132,0.4890191490773928
14011,21757,2012,Ｊ１,第２節第１日,03/17(土),19:04,ＦＣ東京,名古屋グランパス,味の素スタジアム,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１／ＴＯＫＹＯ　ＭＸ,東京都調布市西町376-3,49970,0.477073744246548
14012,11831,2012,Ｊ１,第３節第１日,03/24(土),13:03,ベガルタ仙台,大宮アルディージャ,ユアテックスタジアム仙台,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　１）,宮城県仙台市泉区七北田字柳78,19694,0.8428963135980503
14013,14349,2012,Ｊ１,第３節第１日,03/24(土),13:04,サンフレッチェ広島,鹿島アントラーズ,エディオンスタジアム広島,スカパー／ｅ２／スカパー光,広島県広島市安佐南区大塚西5-1-1,50000,0.3544105882352941
14014,14777,2012,Ｊ１,第３節第１日,03/24(土),14:04,川崎フロンターレ,セレッソ大阪,等々力陸上競技場,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１,神奈川県川崎市中原区等々力1-1,26530,0.6712024123633623
14015,11839,2012,Ｊ１,第３節第１日,03/24(土),14:04,ヴィッセル神戸,ＦＣ東京,ノエビアスタジアム神戸,スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）,兵庫県神戸市兵庫区御崎町1-2-2,30132,0.4890191490773928
14016,10611,2012,Ｊ１,第３節第１日,03/24(土),15:04,サガン鳥栖,横浜Ｆ・マリノス,ベストアメニティスタジアム,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）,佐賀県鳥栖市京町812,24490,0.520346497112524
14017,20192,2012,Ｊ１,第３節第１日,03/24(土),16:03,コンサドーレ札幌,浦和レッズ,札幌ドーム,スカパー／ｅ２／スカパー光,北海道札幌市豊平区羊ヶ丘1,39232,0.3793918230016313
14018,12209,2012,Ｊ１,第３節第１日,03/24(土),19:04,柏レイソル,清水エスパルス,日立柏サッカー場,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１,千葉県柏市日立台1-2-50,15349,0.7926640171998175
14019,10603,2012,Ｊ１,第３節第２日,03/25(日),16:03,名古屋グランパス,アルビレックス新潟,名古屋市瑞穂陸上競技場,スカパー／ｅ２／スカパー光,愛知県名古屋市瑞穂区山下通5-1,20000,0.640325
14020,15072,2012,Ｊ１,第３節第２日,03/25(日),19:03,ガンバ大阪,ジュビロ磐田,万博記念競技場,スカパー／ｅ２／スカパー光,大阪府吹田市千里万博公園5-2,21000,0.7037310924369748
14021,7936,2012,Ｊ１,第４節第１日,03/31(土),13:03,大宮アルディージャ,名古屋グランパス,ＮＡＣＫ５スタジアム大宮,スカパー／ｅ２／スカパー光,埼玉県さいたま市大宮区高鼻町4,15600,0.6843709935897436
14022,16229,2012,Ｊ１,第４節第１日,03/31(土),14:04,ＦＣ東京,サンフレッチェ広島,味の素スタジアム,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）／ＴＯＫＹＯ　ＭＸ（録）,東京都調布市西町376-3,49970,0.477073744246548
14023,25743,2012,Ｊ１,第４節第１日,03/31(土),15:03,浦和レッズ,川崎フロンターレ,埼玉スタジアム２００２,スカパー／ｅ２／スカパー光／テレ玉,埼玉県さいたま市緑区中野田500,63700,0.5750965001385171
14024,9042,2012,Ｊ１,第４節第１日,03/31(土),15:04,ジュビロ磐田,柏レイソル,ヤマハスタジアム（磐田）,スカパー／ｅ２／スカパー光／静岡放送,静岡県磐田市新貝2500,15165,0.7567117265633587
14025,9598,2012,Ｊ１,第４節第１日,03/31(土),15:04,セレッソ大阪,ベガルタ仙台,キンチョウスタジアム,スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）,大阪府大阪市東住吉区長居公園1-1,19628,0.6059479037367768
14026,16836,2012,Ｊ１,第４節第１日,03/31(土),16:03,アルビレックス新潟,ガンバ大阪,デンカビッグスワンスタジアム,スカパー／ｅ２／スカパー光,新潟県新潟市中央区清五郎67-12,42300,0.5914462522597692
14027,14216,2012,Ｊ１,第４節第１日,03/31(土),18:34,清水エスパルス,コンサドーレ札幌,ＩＡＩスタジアム日本平,スカパー／ｅ２／スカパー光,静岡県静岡市清水区村松3880-1,20281,0.7207053399733739
14028,22126,2012,Ｊ１,第４節第１日,03/31(土),19:03,横浜Ｆ・マリノス,鹿島アントラーズ,日産スタジアム,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）,神奈川県横浜市港北区小机町3300,72327,0.3567468382682618
14029,7719,2012,Ｊ１,第４節第１日,03/31(土),19:04,サガン鳥栖,ヴィッセル神戸,ベストアメニティスタジアム,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１,佐賀県鳥栖市京町812,24490,0.520346497112524
14030,14023,2012,Ｊ１,第５節第１日,04/07(土),14:05,コンサドーレ札幌,柏レイソル,札幌ドーム,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１,北海道札幌市豊平区羊ヶ丘1,39232,0.3793918230016313
14031,13147,2012,Ｊ１,第５節第１日,04/07(土),14:03,ベガルタ仙台,ジュビロ磐田,ユアテックスタジアム仙台,スカパー／ｅ２／スカパー光／ＮＨＫ仙台／ＮＨＫ静岡,宮城県仙台市泉区七北田字柳78,19694,0.8428963135980503
14032,13824,2012,Ｊ１,第５節第１日,04/07(土),14:03,名古屋グランパス,サガン鳥栖,豊田スタジアム,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）／ＮＨＫ名古屋／ＮＨＫ佐賀,愛知県豊田市千石町7-2,40000,0.5255
14033,12709,2012,Ｊ１,第５節第１日,04/07(土),14:04,ヴィッセル神戸,清水エスパルス,ノエビアスタジアム神戸,スカパー／ｅ２／スカパー光,兵庫県神戸市兵庫区御崎町1-2-2,30132,0.4890191490773928
14034,15854,2012,Ｊ１,第５節第１日,04/07(土),15:04,アルビレックス新潟,横浜Ｆ・マリノス,デンカビッグスワンスタジアム,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）／ＮＨＫ新潟,新潟県新潟市中央区清五郎67-12,42300,0.5914462522597692
14035,8180,2012,Ｊ１,第５節第１日,04/07(土),16:03,大宮アルディージャ,セレッソ大阪,ＮＡＣＫ５スタジアム大宮,スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）,埼玉県さいたま市大宮区高鼻町4,15600,0.6843709935897436
14036,23507,2012,Ｊ１,第５節第１日,04/07(土),17:04,鹿島アントラーズ,浦和レッズ,県立カシマサッカースタジアム,スカパー／ｅ２／スカパー光,茨城県鹿嶋市神向寺後山26-2,40728,0.3776618484753949
14037,12318,2012,Ｊ１,第５節第１日,04/07(土),19:04,サンフレッチェ広島,ガンバ大阪,エディオンスタジアム広島,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１,広島県広島市安佐南区大塚西5-1-1,50000,0.3544105882352941
14038,20996,2012,Ｊ１,第５節第２日,04/08(日),16:03,川崎フロンターレ,ＦＣ東京,等々力陸上競技場,スカパー／ｅ２／スカパー光,神奈川県川崎市中原区等々力1-1,26530,0.6712024123633623
14039,12318,2012,Ｊ１,第６節第１日,04/14(土),13:03,柏レイソル,ベガルタ仙台,日立柏サッカー場,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）,千葉県柏市日立台1-2-50,15349,0.7926640171998175
14040,19279,2012,Ｊ１,第６節第１日,04/14(土),13:04,ＦＣ東京,鹿島アントラーズ,味の素スタジアム,スカパー／ｅ２／スカパー光,東京都調布市西町376-3,49970,0.477073744246548
14041,7101,2012,Ｊ１,第６節第１日,04/14(土),14:03,横浜Ｆ・マリノス,大宮アルディージャ,ニッパツ三ツ沢球技場,スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）,神奈川県横浜市神奈川区三ツ沢西町3-1,15454,0.622147448341314
14042,25894,2012,Ｊ１,第６節第１日,04/14(土),15:04,浦和レッズ,ヴィッセル神戸,埼玉スタジアム２００２,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　１）／テレ玉,埼玉県さいたま市緑区中野田500,63700,0.5750965001385171
14043,16334,2012,Ｊ１,第６節第１日,04/14(土),16:04,清水エスパルス,ジュビロ磐田,ＩＡＩスタジアム日本平,スカパー／ｅ２／スカパー光,静岡県静岡市清水区村松3880-1,20281,0.7207053399733739
14044,12896,2012,Ｊ１,第６節第１日,04/14(土),16:03,名古屋グランパス,コンサドーレ札幌,豊田スタジアム,スカパー／ｅ２／スカパー光,愛知県豊田市千石町7-2,40000,0.5255
14045,9735,2012,Ｊ１,第６節第１日,04/14(土),18:34,サガン鳥栖,サンフレッチェ広島,ベストアメニティスタジアム,スカパー／ｅ２／スカパー光,佐賀県鳥栖市京町812,24490,0.520346497112524
14046,17134,2012,Ｊ１,第６節第１日,04/14(土),19:04,ガンバ大阪,川崎フロンターレ,万博記念競技場,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１,大阪府吹田市千里万博公園5-2,21000,0.7037310924369748
14047,9154,2012,Ｊ１,第６節第１日,04/14(土),19:04,セレッソ大阪,アルビレックス新潟,キンチョウスタジアム,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）,大阪府大阪市東住吉区長居公園1-1,19628,0.6059479037367768
14048,11119,2012,Ｊ１,第７節第１日,04/21(土),14:04,コンサドーレ札幌,川崎フロンターレ,札幌ドーム,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）／ＮＨＫ札幌,北海道札幌市豊平区羊ヶ丘1,39232,0.3793918230016313
14049,11965,2012,Ｊ１,第７節第１日,04/21(土),14:03,ジュビロ磐田,横浜Ｆ・マリノス,ヤマハスタジアム（磐田）,スカパー／ｅ２／スカパー光／静岡放送,静岡県磐田市新貝2500,15165,0.7567117265633587
14050,10859,2012,Ｊ１,第７節第１日,04/21(土),14:04,ヴィッセル神戸,柏レイソル,ノエビアスタジアム神戸,スカパー／ｅ２／スカパー光／ＮＨＫ神戸,兵庫県神戸市兵庫区御崎町1-2-2,30132,0.4890191490773928
14051,11123,2012,Ｊ１,第７節第１日,04/21(土),14:05,サンフレッチェ広島,名古屋グランパス,エディオンスタジアム広島,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１,広島県広島市安佐南区大塚西5-1-1,50000,0.3544105882352941
14052,12110,2012,Ｊ１,第７節第１日,04/21(土),15:03,鹿島アントラーズ,セレッソ大阪,県立カシマサッカースタジアム,スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）,茨城県鹿嶋市神向寺後山26-2,40728,0.3776618484753949
14053,5432,2012,Ｊ１,第７節第１日,04/21(土),17:05,サガン鳥栖,アルビレックス新潟,佐賀県総合運動場陸上競技場,スカパー／ｅ２／スカパー光,佐賀県佐賀市日の出2-1-10,17000,0.4987843137254902
14054,12709,2012,Ｊ１,第７節第１日,04/21(土),18:33,大宮アルディージャ,浦和レッズ,ＮＡＣＫ５スタジアム大宮,スカパー／ｅ２／スカパー光,埼玉県さいたま市大宮区高鼻町4,15600,0.6843709935897436
14055,17192,2012,Ｊ１,第７節第１日,04/21(土),19:04,ベガルタ仙台,ＦＣ東京,ユアテックスタジアム仙台,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１,宮城県仙台市泉区七北田字柳78,19694,0.8428963135980503
14056,8548,2012,Ｊ１,第７節第２日,04/22(日),19:03,ガンバ大阪,清水エスパルス,万博記念競技場,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）,大阪府吹田市千里万博公園5-2,21000,0.7037310924369748
14057,22405,2012,Ｊ１,第８節第１日,04/28(土),13:04,ＦＣ東京,清水エスパルス,味の素スタジアム,スカパー／ｅ２／スカパー光／ＴＯＫＹＯ　ＭＸ（録）,東京都調布市西町376-3,49970,0.477073744246548
14058,18138,2012,Ｊ１,第８節第１日,04/28(土),13:03,名古屋グランパス,浦和レッズ,名古屋市瑞穂陸上競技場,スカパー／ｅ２／スカパー光,愛知県名古屋市瑞穂区山下通5-1,20000,0.640325
14059,10351,2012,Ｊ１,第８節第１日,04/28(土),14:04,柏レイソル,サガン鳥栖,日立柏サッカー場,スカパー／ｅ２／スカパー光,千葉県柏市日立台1-2-50,15349,0.7926640171998175
14060,19895,2012,Ｊ１,第８節第１日,04/28(土),15:03,川崎フロンターレ,サンフレッチェ広島,等々力陸上競技場,スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）,神奈川県川崎市中原区等々力1-1,26530,0.6712024123633623
14061,17583,2012,Ｊ１,第８節第１日,04/28(土),15:34,鹿島アントラーズ,ガンバ大阪,県立カシマサッカースタジアム,スカパー／ｅ２／スカパー光／ＮＨＫ総合,茨城県鹿嶋市神向寺後山26-2,40728,0.3776618484753949
14062,8435,2012,Ｊ１,第８節第１日,04/28(土),16:03,大宮アルディージャ,コンサドーレ札幌,ＮＡＣＫ５スタジアム大宮,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）,埼玉県さいたま市大宮区高鼻町4,15600,0.6843709935897436
14063,21054,2012,Ｊ１,第８節第１日,04/28(土),16:03,横浜Ｆ・マリノス,ヴィッセル神戸,日産スタジアム,スカパー／ｅ２／スカパー光,神奈川県横浜市港北区小机町3300,72327,0.3567468382682618
14064,24637,2012,Ｊ１,第８節第１日,04/28(土),16:03,アルビレックス新潟,ベガルタ仙台,デンカビッグスワンスタジアム,スカパー／ｅ２／スカパー光,新潟県新潟市中央区清五郎67-12,42300,0.5914462522597692
14065,12183,2012,Ｊ１,第８節第１日,04/28(土),19:04,セレッソ大阪,ジュビロ磐田,キンチョウスタジアム,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１,大阪府大阪市東住吉区長居公園1-1,19628,0.6059479037367768
14066,9596,2012,Ｊ１,第９節第１日,05/03(木・祝),14:03,コンサドーレ札幌,セレッソ大阪,札幌厚別公園競技場,スカパー／ｅ２／スカパー光,北海道札幌市厚別区上野幌3条1-2-1,19620,0.4026357943789137
14067,11672,2012,Ｊ１,第９節第１日,05/03(木・祝),14:04,ヴィッセル神戸,大宮アルディージャ,ノエビアスタジアム神戸,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１,兵庫県神戸市兵庫区御崎町1-2-2,30132,0.4890191490773928
14068,15671,2012,Ｊ１,第９節第１日,05/03(木・祝),15:03,川崎フロンターレ,ジュビロ磐田,等々力陸上競技場,スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）,神奈川県川崎市中原区等々力1-1,26530,0.6712024123633623
14069,17826,2012,Ｊ１,第９節第１日,05/03(木・祝),16:04,サンフレッチェ広島,アルビレックス新潟,エディオンスタジアム広島,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）／ＮＨＫ広島／ＮＨＫ新潟,広島県広島市安佐南区大塚西5-1-1,50000,0.3544105882352941
14070,18113,2012,Ｊ１,第９節第１日,05/03(木・祝),16:04,サガン鳥栖,ベガルタ仙台,ベストアメニティスタジアム,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　１）,佐賀県鳥栖市京町812,24490,0.520346497112524
14071,44422,2012,Ｊ１,第９節第１日,05/03(木・祝),19:05,浦和レッズ,横浜Ｆ・マリノス,埼玉スタジアム２００２,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１／テレ玉,埼玉県さいたま市緑区中野田500,63700,0.5750965001385171
14072,18393,2012,Ｊ１,第９節第１日,05/03(木・祝),19:01,清水エスパルス,鹿島アントラーズ,ＩＡＩスタジアム日本平,スカパー／ｅ２／スカパー光／静岡放送,静岡県静岡市清水区村松3880-1,20281,0.7207053399733739
14073,25813,2012,Ｊ１,第９節第２日,06/27(水),19:04,ＦＣ東京,柏レイソル,国立競技場,スカパー／ｅ２／スカパー光,東京都新宿区霞ヶ丘町10,54224,0.4760438182354677
14074,10840,2012,Ｊ１,第９節第２日,06/27(水),19:03,ガンバ大阪,名古屋グランパス,万博記念競技場,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　１）,大阪府吹田市千里万博公園5-2,21000,0.7037310924369748
14075,18525,2012,Ｊ１,第１０節第１日,05/06(日),13:04,ベガルタ仙台,清水エスパルス,ユアテックスタジアム仙台,スカパー／ｅ２／スカパー光／ＮＨＫ仙台,宮城県仙台市泉区七北田字柳78,19694,0.8428963135980503
14076,24183,2012,Ｊ１,第１０節第１日,05/06(日),13:03,横浜Ｆ・マリノス,コンサドーレ札幌,日産スタジアム,スカパー／ｅ２／スカパー光,神奈川県横浜市港北区小机町3300,72327,0.3567468382682618
14077,16446,2012,Ｊ１,第１０節第１日,05/06(日),13:05,セレッソ大阪,ヴィッセル神戸,キンチョウスタジアム,スカパー／ｅ２／スカパー光／ＮＨＫ大阪,大阪府大阪市東住吉区長居公園1-1,19628,0.6059479037367768
14078,12875,2012,Ｊ１,第１０節第１日,05/06(日),15:03,柏レイソル,サンフレッチェ広島,日立柏サッカー場,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　１）,千葉県柏市日立台1-2-50,15349,0.7926640171998175
14079,11554,2012,Ｊ１,第１０節第１日,05/06(日),17:03,大宮アルディージャ,ガンバ大阪,ＮＡＣＫ５スタジアム大宮,スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）／テレ玉,埼玉県さいたま市大宮区高鼻町4,15600,0.6843709935897436
14080,22193,2012,Ｊ１,第１０節第１日,05/06(日),16:05,ジュビロ磐田,浦和レッズ,エコパスタジアム,スカパー／ｅ２／スカパー光,静岡県袋井市愛野2300-1,50889,0.5004814399968559
14081,20512,2012,Ｊ１,第１０節第１日,05/06(日),17:03,名古屋グランパス,川崎フロンターレ,豊田スタジアム,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）／名古屋テレビ（録）,愛知県豊田市千石町7-2,40000,0.5255
14082,10626,2012,Ｊ１,第１０節第１日,05/06(日),19:04,鹿島アントラーズ,サガン鳥栖,県立カシマサッカースタジアム,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）,茨城県鹿嶋市神向寺後山26-2,40728,0.3776618484753949
14083,21827,2012,Ｊ１,第１０節第１日,05/06(日),19:04,アルビレックス新潟,ＦＣ東京,デンカビッグスワンスタジアム,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１,新潟県新潟市中央区清五郎67-12,42300,0.5914462522597692
14084,10816,2012,Ｊ１,第１１節第１日,05/12(土),13:04,コンサドーレ札幌,ＦＣ東京,札幌ドーム,スカパー／ｅ２／スカパー光／北海道テレビ,北海道札幌市豊平区羊ヶ丘1,39232,0.3793918230016313
14085,13555,2012,Ｊ１,第１１節第１日,05/12(土),14:03,ジュビロ磐田,鹿島アントラーズ,ヤマハスタジアム（磐田）,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）／静岡放送,静岡県磐田市新貝2500,15165,0.7567117265633587
14086,7833,2012,Ｊ１,第１１節第１日,05/12(土),14:04,サガン鳥栖,大宮アルディージャ,ベストアメニティスタジアム,スカパー／ｅ２／スカパー光,佐賀県鳥栖市京町812,24490,0.520346497112524
14087,16054,2012,Ｊ１,第１１節第１日,05/12(土),15:03,川崎フロンターレ,柏レイソル,等々力陸上競技場,スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）,神奈川県川崎市中原区等々力1-1,26530,0.6712024123633623
14088,12073,2012,Ｊ１,第１１節第１日,05/12(土),15:04,サンフレッチェ広島,横浜Ｆ・マリノス,エディオンスタジアム広島,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）,広島県広島市安佐南区大塚西5-1-1,50000,0.3544105882352941
14089,15891,2012,Ｊ１,第１１節第１日,05/12(土),15:34,清水エスパルス,セレッソ大阪,ＩＡＩスタジアム日本平,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１／テレビ静岡,静岡県静岡市清水区村松3880-1,20281,0.7207053399733739
14090,31818,2012,Ｊ１,第１１節第１日,05/12(土),16:04,浦和レッズ,アルビレックス新潟,埼玉スタジアム２００２,スカパー／ｅ２／スカパー光,埼玉県さいたま市緑区中野田500,63700,0.5750965001385171
14091,14825,2012,Ｊ１,第１１節第１日,05/12(土),18:34,ヴィッセル神戸,名古屋グランパス,ノエビアスタジアム神戸,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）,兵庫県神戸市兵庫区御崎町1-2-2,30132,0.4890191490773928
14092,15253,2012,Ｊ１,第１１節第１日,05/12(土),19:04,ガンバ大阪,ベガルタ仙台,万博記念競技場,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１,大阪府吹田市千里万博公園5-2,21000,0.7037310924369748
14093,25241,2012,Ｊ１,第１２節第１日,05/19(土),14:03,横浜Ｆ・マリノス,ガンバ大阪,日産スタジアム,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）,神奈川県横浜市港北区小机町3300,72327,0.3567468382682618
14094,12613,2012,Ｊ１,第１２節第１日,05/19(土),14:04,サンフレッチェ広島,ヴィッセル神戸,エディオンスタジアム広島,スカパー／ｅ２／スカパー光／ＮＨＫ広島／ＮＨＫ神戸,広島県広島市安佐南区大塚西5-1-1,50000,0.3544105882352941
14095,21920,2012,Ｊ１,第１２節第１日,05/19(土),15:03,アルビレックス新潟,ジュビロ磐田,デンカビッグスワンスタジアム,スカパー／ｅ２／スカパー光／テレビ新潟,新潟県新潟市中央区清五郎67-12,42300,0.5914462522597692
14096,35877,2012,Ｊ１,第１２節第１日,05/19(土),15:34,浦和レッズ,清水エスパルス,埼玉スタジアム２００２,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１,埼玉県さいたま市緑区中野田500,63700,0.5750965001385171
14097,9304,2012,Ｊ１,第１２節第１日,05/19(土),16:03,大宮アルディージャ,川崎フロンターレ,ＮＡＣＫ５スタジアム大宮,スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）／テレ玉,埼玉県さいたま市大宮区高鼻町4,15600,0.6843709935897436
14098,13915,2012,Ｊ１,第１２節第１日,05/19(土),17:04,鹿島アントラーズ,コンサドーレ札幌,県立カシマサッカースタジアム,スカパー／ｅ２／スカパー光,茨城県鹿嶋市神向寺後山26-2,40728,0.3776618484753949
14099,16317,2012,Ｊ１,第１２節第１日,05/19(土),18:33,ベガルタ仙台,名古屋グランパス,ユアテックスタジアム仙台,スカパー／ｅ２／スカパー光,宮城県仙台市泉区七北田字柳78,19694,0.8428963135980503
14100,19643,2012,Ｊ１,第１２節第１日,05/19(土),19:04,セレッソ大阪,柏レイソル,ヤンマースタジアム長居,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１,大阪府大阪市東住吉区長居公園1-1,47816,0.5461735262952429
14101,25803,2012,Ｊ１,第１２節第２日,05/20(日),15:04,ＦＣ東京,サガン鳥栖,味の素スタジアム,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）,東京都調布市西町376-3,49970,0.477073744246548
